Course Codes
COMM 1311
RHET 1302
MATH 1306
MATH 1314
AMS 2300
AMS 2341
HUMA 1301
ARTS 1301
FILM 2332
HIST 1301
HIST 1302
HIST 2301
GOVT 2305
GOVT 2306
GST 2300
PSY 2301
SOC 1301
AMS 3327
AMS 3302
BIS 3320
UNIV 1010
BIS 1100
""
MATH 1325
MATH 2413
CHEM 1311
CHEM 1312
BIOL 2311
STAT 2332
STAT 1342
BIOL 2111
BIOL 2312
BIOL 2112
CHEM 1111
CHEM 1112
CHEM 2323
CHEM 2123
CHEM 2325
CHEM 2125
PHYS 1301
PHYS 2125
PHYS 1302
PHYS 2126
PHYS 2325
PHYS 2326
HLTH 1100
HLTH 3101
HLTH 3300
HLTH 3305
HLTH 3315
HLTH 4304
HLTH 3301
HLTH 4305
HLTH 4380
PSY 4328
PSY 4343
ECON 3330
GEOG 3357
HLTH 3310
HMGT 3301
HLTH 3306
PHIL 3328
PHIL 3320
PHIL 4321
SOC 4371
SOC 4372
BIOL 2281
BIOL 3301
BIOL 3101
BIOL 3302
BIOL 3102
BIOL 3361
BIOL 3161
BIOL 3362
BIOL 3162
BIOL 3455
BIOL 3456
BIOL 3520
BIOL 3370
BIOL 4310
BIOL 4345
BIOL 4350
BIOL 4V40
HLTH 1301
HLTH 1322
HLTH 4306
HLTH 4307
HLTH 4V01
ISIS 3309
ISIS 4V89
NSC 3361
NSC 4366
NSC 4351
ISNS 2359
ISNS 2367
ISNS 2368
MATH 2417
MATH 1326
MATH 2414
MATH 2415
MATH 2419
LIT 2331
PHIL 1301
PHIL 2316
PHIL 2317
AHST 1303
AHST 1304
AHST 2331
DANC 1310
THEA 1310
MUSI 1306
HIST 2330
HIST 2332
CGS 2301
CS 1337
MATH 2418
PSY 2317
CS 3341
CS 2305
CS 2336
CGS 3361
PSY 3392
CGS 3340
PSY 3393
CGS 3325
CGS 4359
CGS 4362
CGS 4352
CGS 4353
PSY 3331
PSY 2314
PSY 3310
PSY 3362
NSC 4352
NSC 4354
NSC 4356
NSC 4363
NSC 4367
NSC 4359
NSC 4353
NSC 4357
NSC 4362
NSC 4371
NSC 4373
NSC 4385
CGS 3342
CGS 4312
CGS 4313
CGS 4314
CGS 4315
CS 3345
CS 4365
CS 4375
CS 4391
CS 4395
PSY 2364
CLDP 3303
CLDP 3305
CLDP 3310
CLDP 3339
CLDP 3332
CLDP 3342
CLDP 4344
CLDP 3362
CLDP 3365
CLDP 3394
CLDP 4394
BBSU 3310
CLDP 4395
CLDP 4397
CLDP 4V96
CLDP 4V98
CLDP 4V99
PSY 3339
PSY 3332
PSY 3342
PSY 4344
PSY 4373
PSY 4394
ED 4693
SPAU 3303
SPAU 3305
SPAU 4308
BA 1310
BA 1320
ECON 2301
ECON 2302
ACCT 2301
ACCT 2302
BLAW 2301
OPRE 3340
OPRE 3333
MATH 2333
OPRE 3360
STAT 3360
ITSS 3311
ITSS 3312
ITSS 4381
BCOM 1300
BCOM 3300
BCOM 4300
IMS 3310
FIN 3320
ITSS 3300
OPRE 3310
OBHR 3310
OBHR 3330
MKT 3300
BA 4095
ITSS 4300
ITSS 4330
ITSS 4360
ITSS 4351
ITSS 4370
ITSS 4395
BPS 4395
ITSS 4090
BA 4090
ITSS 4352
ITSS 4353
ITSS 4354
ITSS 4355
ITSS 4340
ITSS 4343
ITSS 4344
ACCT 4342
ACCT 3322
MKT 3330
MKT 4331
MKT 4332
ENTP 3301
ENTP 3320
ITSS 4356
ITSS 4361
ITSS 4362
IMS 4395
ENTP 4395
IMS 4320
FIN 3380
IMS 4330
IMS 4350
IMS 4373
BLAW 4301
IMS 4310
IMS 4340
IMS 4V90
IMS 4090
IMS 4335
ENTP 4340
MKT 4360
FIN 3350
MECO 4303
MECO 4351
MECO 4352
ENGY 3301
ENGY 3302
ENGY 3340
FIN 4313
MECO 4342
ENTP 3360
ENTP 4311
ENTP 4320
ENTP 4350
RMIS 3370
RMIS 4331
RMIS 4332
RMIS 4333
RMIS 4334
REAL 3305
REAL 3365
REAL 4321
REAL 4328
MKT 3331
OBHR 4352
CS 4347
GEOS 1303
MECO 3330
MKT 3340
OPRE 4330
FIN 3390
BLAW 3301
OBHR 4310
OBHR 4331
OBHR 4333
OBHR 4334
OBHR 4335
OBHR 4336
OBHR 4350
OBHR 4354
OBHR 4356
RMIS 4336
RMIS 4338
FIN 3305
MKT 4330
MKT 4335
MKT 4336
MKT 4337
MKT 4338
MKT 4339
MKT 4340
MKT 4341
MKT 4350
MKT 4370
MKT 4395
MKT 4V83
MKT 4V90
OPRE 3320
OPRE 3330
OPRE 4310
OPRE 4340
OPRE 4320
OPRE 4350
OPRE 4395
OPRE 4362
OPRE 4V90
OPRE 4090
OPRE 4357
MKT 3320
OPRE 4355
OPRE 4345
BPS 4305
MKT 4090
MKT 4333
MKT 4334
MKT 4390
MKT 4V93
STAT 4351
FIN 4300
FIN 4310
FIN 4395
FIN 4328
FIN 4333
FIN 4380
FIN 4V80
FIN 4080
BA 3300
BA 4V90
MECO 4300
FIN 4340
FIN 4345
NATS 2333
ENTP 4V90
ENTP 4090
ENTP 3321
ENTP 4330
ENTP 4360
ENTP 4V00
ENTP 4335
ENTP 4331
REAL 4V80
REAL 4090
FIN 3330
ATCM 4398
BMEN 4388
BMEN 4389
CE 4388
CE 4389
CS 4485
MECH 4381
MECH 4382
SE 4485
OBHR 4395
OBHR 4V90
OBHR 4090
OBHR 4300
OBHR 4337
OBHR 4338
OBHR 4361
HMGT 3310
HMGT 3311
HMGT 3320
HMGT 4321
HMGT 4395
HMGT 3080
HMGT 4V90
HMGT 4090
HMGT 4V81
MECO 3360
MECO 3361
PHIL 2303
ACCT 4395
ACCT 3312
ACCT 3331
ACCT 3332
ACCT 3341
ACCT 3350
ACCT 4334
ACCT 4V80
ACCT 4301
ACCT 4302
ACCT 4336
ACCT 4337
ACCT 4340
FIN 3360
EPPS 2301
EPPS 2302
ECON 3310
ECON 3311
GEOG 3304
PSCI 3325
PSCI 3322
PSCI 4343
PSCI 3362
PPOL 4300
PPOL 4398
PPOL 4V91
CRIM 4311
ECON 3315
ECON 3336
ECON 4320
ECON 4336
ECON 4332
GEOG 3377
GISC 4384
IPEC 4301
IPEC 4305
IPEC 4309
IPEC 4310
IPEC 4384
PSCI 3310
PSCI 3326
PSCI 3323
PSCI 4304
PSCI 4305
PSCI 4307
PSCI 4370
SOC 4386
PPOL 4396
PPOL 4V96
PPOL 4V99
PA 3380
PA 4351
PA 4355
PPOL 4301
PPOL 4302
PPOL 4303
PSCI 4356
SOC 3303
SOC 3305
SOC 3381
SOC 4302
SOC 4306
SOC 4385
SOC 4388
SOC 4369
GEOG 3372
HIST 3328
PSY 4346
SOC 4357
SPAN 3330
ECS 3390
PA 2325
PA 3306
PA 3310
PA 3333
PA 3378
PA 4370
PA 4390
PA 3314
PA 3379
PA 3382
PA 4345
PA 4350
PA 4386
ENVR 2302
NATS 1311
CRIM 1301
CRIM 1307
GEOG 2303
GISC 2305
GISC 3304
