Text Content,Tag,Classes,xind,cat,style,ID
School of Behavioral and Brain Sciences,h1,"['cat-cat1', 'line-1', 'xind-0']",0,cat1,,school-of-behavioral-and-brain-sciences
Cognitive Science (BS),h2,"['cat-cat2', 'line-2', 'xind-1']",1,cat2,margin-left:15px,cognitive-science-bs-
"Cognitive Science is the study of complex information processing in humans and machines and includes the multidisciplinary study of biological and artificial systems. Important components of cognitive science include areas of research such as: cognitive-neuroscience, brain-imaging studies of perceptual and cognitive processing, Human-Computer Interaction (HCI), Artificial Intelligence (AI) and machine learning, computational neuroscience, and mathematical psychology. The field of cognitive science draws from diverse approaches to understanding complex information processing systems, including research from experimental psychology, neuroscience, linguistics, philosophy, computer science, mathematics, and engineering.",p,"['cat-catp', 'line-3', 'xind-2']",2,catp,margin-left:30px,
"The Cognitive Science program in the School of Behavioral and Brain Sciences at UT Dallas consists of three concentration areas: (1) Psychology/HCI, (2) Neuroscience, and (3) Intelligent Systems (AI) /Computational Modeling.",p,"['cat-catp', 'line-4', 'xind-2']",2,catp,margin-left:30px,
"Cognitive Science Majors select core upper-division coursework from 2 of these 3 concentration areas to generate multidisciplinary areas of focus. In addition to providing a sound preparation for graduate work in Cognitive Science and related areas, the Cognitive Science major is an ideal choice for students pursuing careers that combine interests in neuroscience, cognition, mathematics, and computer science. There are exciting career prospects in both industry and academics for the Cognitive Science major.",p,"['cat-catp', 'line-5', 'xind-2']",2,catp,margin-left:30px,
"Cognitive-Neuroscience Careers. Students whose focus area is cognitive-neuroscience will be well prepared for the pursuit of graduate degrees and careers associated with: medicine, clinical neuropsychology, brain-imaging technology, intraoperative neurophysiological monitoring, and evaluation of bionic/prosthetic technology (e.g., cochlear implants and artificial limbs). Students interested in Cognitive-Neuroscience career opportunities typically choose their coursework from the specialization areas of both Psychology/HCI and Neuroscience.",p,"['cat-catp', 'line-6', 'xind-2']",2,catp,margin-left:30px,
"Artificial Intelligence and Machine Learning Careers. The areas of Artificial Intelligence and Machine Learning are concerned with the problem of the design and evaluation of artificially intelligent systems. Examples of artificially intelligent systems include: web search engines, speech recognition algorithms, computer-based natural language understanding, robotics, computer vision, smart algorithms which support automatized data mining, the design of intelligent entities in computer games, as well as bionic and prosthetic technology development and evaluation (such as cochlear implant technology). Students interested in career opportunities in this area should choose their core coursework from the AI/Computational Modeling specialization area.",p,"['cat-catp', 'line-7', 'xind-2']",2,catp,margin-left:30px,
Computational Neuroscience and Mathematical Psychology Careers. Computational neuroscience and mathematical psychology are areas of study concerned with the development of mathematical and simulation models for the purpose of advancing theory in the behavioral and brain sciences. Students interested in careers in computational neuroscience would choose their core coursework from the specialization areas of both Neuroscience and AI/Computational Modeling. Students interested in the area of mathematical psychology would choose their core coursework from the specialization areas of Psychology/HCI and AI/Computational Modeling.,p,"['cat-catp', 'line-8', 'xind-2']",2,catp,margin-left:30px,
"Usability Engineering and User Experience (UX) Careers. Students whose focus area is Human-Computer Interaction (HCI), are prepared to pursue careers in the areas of usability engineering and user-experience (UX) design. Such careers involve the evaluation and design of human-computer interfaces such as website and software graphical user interfaces (GUIs), smartphone interfaces, and voice-user interfaces (VUIs). Students interested in Usability Engineering opportunities should choose their core coursework from the Psychology/HCI specialization area and include one or more HCI courses. Students interested in the area of user-experience (UX) design typically choose their core coursework from both the specialization areas of Psychology/HCI and Artificial Intelligence/Computational Modeling.",p,"['cat-catp', 'line-9', 'xind-2']",2,catp,margin-left:30px,
"Medical and Dental School Career Paths. The Cognitive Science major is an excellent choice for students interested in preparation for medical or dental graduate study. Cognitive science students receive training in areas such as biology, chemistry, psychology, and mathematics. Freshman and sophomore students interested in pre-med careers should identify basic, required, and recommended subject requirements for their top choices in medical schools. This information should then be used to design an appropriate cognitive science curriculum with their undergraduate Cognitive Science advisor. Permission to take relevant advanced coursework in biology, chemistry, and neuroscience can, in some cases, be used to satisfy the neuroscience specialization area requirements with approval from the Cognitive Science program head. Students interested in Health Services career paths should choose Neuroscience as one of their two specialization areas.",p,"['cat-catp', 'line-10', 'xind-2']",2,catp,margin-left:30px,
