Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
ISNS 2359 Earthquakes and Volcanoes,ISNS 2359
ISNS 2367 The Oceans,ISNS 2367
ISNS 2368 Weather and Climate,ISNS 2368
AMS 2300 American Popular Culture,AMS 2300
AMS 2341 American Studies for the Twenty-First Century,AMS 2341
HUMA 1301 Exploration of the Humanities,HUMA 1301
ARTS 1301 Exploration of the Arts,ARTS 1301
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
GST 2300 Introduction to Gender Studies,GST 2300
PSY 2301 Introduction to Psychology,PSY 2301
SOC 1301 Introduction to Sociology,SOC 1301
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
or MATH 1314 College Algebra,MATH 1314
BIS 3320 The Nature of Intellectual Inquiry,BIS 3320
UNIV 1010 Comets to the Core Pre-Assessment,UNIV 1010
BIS 1100 Interdisciplinary Studies Freshman Seminar,BIS 1100
BIS 3320 The Nature of Intellectual Inquiry (3 semester credit hours),BIS 3320
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1325 Applied Calculus I,MATH 1325
MATH 2413 Differential Calculus,MATH 2413
MATH 2417 Calculus I,MATH 2417
ISNS 2359 Earthquakes and Volcanoes,ISNS 2359
ISNS 2367 The Oceans,ISNS 2367
ISNS 2368 Weather and Climate,ISNS 2368
AMS 2300 American Popular Culture,AMS 2300
AMS 2341 American Studies for the Twenty-First Century,AMS 2341
HUMA 1301 Exploration of the Humanities,HUMA 1301
ARTS 1301 Exploration of the Arts,ARTS 1301
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
GST 2300 Introduction to Gender Studies,GST 2300
PSY 2301 Introduction to Psychology,PSY 2301
SOC 1301 Introduction to Sociology,SOC 1301
MATH 1326 Applied Calculus II (if MATH 1325 Applied Calculus I is taken),MATH 1326
MATH 2414 Integral Calculus ,MATH 2414
or MATH 2415 Calculus of Several Variables (if MATH 2413 Differential Calculus is taken),MATH 2415
MATH 2419 Calculus II (if MATH 2417 Calculus I is taken),MATH 2419
BIS 3320 The Nature of Intellectual Inquiry,BIS 3320
UNIV 1010 Comets to the Core Pre-Assessment,UNIV 1010
BIS 1100 Interdisciplinary Studies Freshman Seminar,BIS 1100
BIS 3320 The Nature of Intellectual Inquiry (3 semester credit hours),BIS 3320
