Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
AMS 2300 American Popular Culture,AMS 2300
AMS 2341 American Studies for the Twenty-First Century,AMS 2341
HUMA 1301 Exploration of the Humanities,HUMA 1301
ARTS 1301 Exploration of the Arts,ARTS 1301
FILM 2332 Understanding Film,FILM 2332
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
HIST 2301 History of Texas,HIST 2301
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
GST 2300 Introduction to Gender Studies,GST 2300
PSY 2301 Introduction to Psychology,PSY 2301
SOC 1301 Introduction to Sociology,SOC 1301
"AMS 3327 American Studies: Histories, Theories, Methodologies",AMS 3327
"AMS 2341 American Studies for the Twenty-First Century, ",AMS 2341
"or AMS 2300 American Popular Culture, ",AMS 2300
AMS 3302 American Cultures,AMS 3302
BIS 3320 The Nature of Intellectual Inquiry,BIS 3320
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
or MATH 1314 College Algebra,MATH 1314
UNIV 1010 Comets to the Core Pre-Assessment,UNIV 1010
BIS 1100 Interdisciplinary Studies Freshman Seminar,BIS 1100
