Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 2331 Introduction to World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"CRIM 1301 Introduction to Criminal Justice, ",CRIM 1301
"CRIM 1307 Introduction to Crime and Criminology, ",CRIM 1307
ECON 2301 Principles of Macroeconomics,ECON 2301
ECON 2302 Principles of Microeconomics,ECON 2302
SOC 1301 Introduction to Sociology,SOC 1301
EPPS 2301 Research Design in the Social and Policy Sciences,EPPS 2301
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
"CRIM 1301 Introduction to Criminal Justice, ",CRIM 1301
"CRIM 1307 Introduction to Crime and Criminology, ",CRIM 1307
CRIM 2306 Criminal Law,CRIM 2306
CRIM 2313 Police and Society,CRIM 2313
CRIM 2316 Corrections,CRIM 2316
CRIM 2317 Criminal Prosecution and Court Process,CRIM 2317
EPPS 2301 Research Design in the Social and Policy Sciences,EPPS 2301
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
CRIM 3300 Crime and Civil Liberties,CRIM 3300
CRIM 3302 Advanced Criminology,CRIM 3302
CRIM 3303 Advanced Criminal Justice,CRIM 3303
CRIM 3310 Youth Crime and Justice,CRIM 3310
CRIM 4311 Crime and Justice Policy,CRIM 4311
CRIM 4322 Senior Research Seminar,CRIM 4322
CRIM 3301 Theories of Justice,CRIM 3301
SOC 4369 Public Health and Society,SOC 4369
SOC 3325 Race and Ethnicity,SOC 3325
"SOC 4302 Class, Status, and Power",SOC 4302
ECON 4333 Environmental Economics,ECON 4333
CRIM 3319 Comparative Justice Systems,CRIM 3319
ECON 3369 Political Economy of Terrorism,ECON 3369
CRIM 1301 Introduction to Criminal Justice,CRIM 1301
CRIM 1307 Introduction to Crime and Criminology,CRIM 1307
