Full Course Name,Course Code
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 1305 Introduction to Philosophy of Religion,PHIL 1305
PHIL 1306 Introduction to Ethics,PHIL 1306
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 1301 Introduction to Literature,LIT 1301
LIT 2329 Introduction to Ethnic American Literature,LIT 2329
LIT 2331 Introduction to World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 1305 Introduction to Philosophy of Religion,PHIL 1305
PHIL 1306 Introduction to Ethics,PHIL 1306
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 1301 Introduction to Literature,LIT 1301
LIT 2329 Introduction to Ethnic American Literature,LIT 2329
LIT 2331 Introduction to World Literature,LIT 2331
HIST 2340 Middle East Civilizations,HIST 2340
HIST 2341 East Asian Civilizations,HIST 2341
HIST 2350 Latin American Civilizations,HIST 2350
HIST 2360 European Civilizations,HIST 2360
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 1305 Introduction to Philosophy of Religion,PHIL 1305
PHIL 1306 Introduction to Ethics,PHIL 1306
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 1301 Introduction to Literature,LIT 1301
LIT 2329 Introduction to Ethnic American Literature,LIT 2329
LIT 2331 Introduction to World Literature,LIT 2331
HIST 3301 Historical Inquiry,HIST 3301
HIST 4390 History Capstone Project,HIST 4390
ARHM 3342 Advanced Interdisciplinary Studies in the Arts and Humanities,ARHM 3342
DANC 3340 Dance in Historical Context,DANC 3340
FILM 3321 Film in Historical Context,FILM 3321
MUSI 3322 Music in Historical Context,MUSI 3322
MUSI 3324 Jazz History: Roots to Swing,MUSI 3324
MUSI 3325 Jazz History: Modern Jazz since BeBop,MUSI 3325
PHIL 3321 Philosophical Traditions I,PHIL 3321
PHIL 3322 Ancient Philosophy,PHIL 3322
PHIL 3323 Early Modern Philosophy,PHIL 3323
PHIL 3324 19th and 20th Century Philosophy,PHIL 3324
PHIL 3328 History and Philosophy of Science and Medicine,PHIL 3328
THEA 3323 Performance in Historical Context,THEA 3323
