Full Course Name,Course Code
HIST 2350 Latin American Civilizations,HIST 2350
GEOG 2303 People and Place: An Introduction to World Geographic Regions,GEOG 2303
HIST 2350 Latin American Civilizations,HIST 2350
LIT 2350 Close Reading,LIT 2350
HIST 3301 Historical Inquiry,HIST 3301
GEOG 2303 People and Place: An Introduction to World Geographic Regions,GEOG 2303
LATS 3301 Latin American Literature,LATS 3301
HIST 3398 Colonial Latin American History,HIST 3398
HIST 3399 Modern Latin American History,HIST 3399
HIST 3391 Modern Mexico,HIST 3391
HIST 3398 Colonial Latin American History,HIST 3398
HIST 3399 Modern Latin American History,HIST 3399
HIST 4369 Topics in Borderlands History,HIST 4369
HIST 4359 Topics in Latin American History,HIST 4359
HIST 3397 Study Abroad in Latin America (may be repeated as topics vary),HIST 3397
CRIM 3319 Comparative Justice Systems,CRIM 3319
GEOG 2302 The Global Environment,GEOG 2302
GEOG 3304 Principles of Geospatial Information Sciences,GEOG 3304
GEOG 3359 Human Migration and Mobility: Global Patterns,GEOG 3359
"GEOS 2321 Geology, Resources, and Environment of Latin America",GEOS 2321
PSCI 4348 Terrorism,PSCI 4348
LATS 3301 Latin American Literature,LATS 3301
LATS 3302 Latin American Film,LATS 3302
LATS 3303 Latin Social Dance,LATS 3303
LATS 4329 Major Authors,LATS 4329
