Full Course Name,Course Code
RHET 1302 Rhetoric,RHET 1302
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
COMM 1315 Public Speaking,COMM 1315
LIT 2331 Introduction to World Literature,LIT 2331
LIT 2350 Close Reading,LIT 2350
LIT 2320 Survey A: Literature in English,LIT 2320
LIT 2321 Survey B: Literature in Translation,LIT 2321
LIT 2322 Survey of African-American and African Diaspora Literatures,LIT 2322
LIT 2331 Introduction to World Literature,LIT 2331
LIT 3300 Western Literary Tradition,LIT 3300
LIT 3339 Writing Literary Studies,LIT 3339
LIT 4329 Single Author,LIT 4329
LIT 4390 Capstone,LIT 4390
ARHM 3342 Advanced Interdisciplinary Studies in the Arts and Humanities,ARHM 3342
LIT 3338 Literary Theory and Aesthetic Philosophy,LIT 3338
LIT 3319 Contexts,LIT 3319
CRWT 3330 Translation Workshop,CRWT 3330
LIT 3337 Comparisons,LIT 3337
