Full Course Name,Course Code
PHIL 2303 Introduction to Logic,PHIL 2303
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 1305 Introduction to Philosophy of Religion,PHIL 1305
PHIL 1306 Introduction to Ethics,PHIL 1306
PHIL 2303 Introduction to Logic,PHIL 2303
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 1305 Introduction to Philosophy of Religion,PHIL 1305
PHIL 1306 Introduction to Ethics,PHIL 1306
PHIL 3321 Philosophical Traditions I,PHIL 3321
PHIL 4328 Philosophy Capstone Project,PHIL 4328
PHIL 2316 History of Philosophy I ,PHIL 2316
or PHIL 3322 Ancient Philosophy,PHIL 3322
PHIL 2317 History of Philosophy II ,PHIL 2317
or PHIL 3323 Early Modern Philosophy,PHIL 3323
PHIL 3324 19th and 20th Century Philosophy,PHIL 3324
PHIL 3373 Philosophy of Mind,PHIL 3373
PHIL 4308 Theories of Knowledge,PHIL 4308
PHIL 3328 History and Philosophy of Science and Medicine,PHIL 3328
PHIL 4321 Philosophy of Medicine,PHIL 4321
PHIL 4344 Philosophy of Science,PHIL 4344
PHIL 3375 Contemporary Ethical Issues,PHIL 3375
PHIL 3320 Medical Ethics,PHIL 3320
PHIL 3338 Literary Theory and Aesthetic Philosophy,PHIL 3338
PHIL 4323 Ethical Theories,PHIL 4323
PHIL 4324 Social and Political Philosophy,PHIL 4324
PHIL 4325 Philosophy of Art and Aesthetics,PHIL 4325
ARHM 3100 Topics in Values and Science,ARHM 3100
ARHM 3342 Advanced Interdisciplinary Studies in the Arts and Humanities,ARHM 3342
ATCM 3300 Code Plus Culture,ATCM 3300
"ATCM 4384 Ethics in New Media, Technology, and Communication",ATCM 4384
CGS 2301 Cognitive Science,CGS 2301
CGS 3325 or PSY 3360 Historical Perspectives on Psychology: Mind and Machines since 1600,CGS 3325
CGS 4320 or PSY 4320 Psychology of Reasoning,CGS 4320
CGS 4362 or PSY 4362 Perception,CGS 4362
COMM 3351 History and Theory of Communication,COMM 3351
COMM 3352 Media and Culture,COMM 3352
COMM 4360 Communication Ethics,COMM 4360
ECON 4301 Game Theory,ECON 4301
ECON 4381 History of Economic Ideas,ECON 4381
GST 2300 Introduction to Gender Studies,GST 2300
HIST 3302 Gender in Western Thought,HIST 3302
"HIST 3376 American Intellectual History, Colonial to the Civil War",HIST 3376
"HIST 3377 American Intellectual History, Civil War to the Present",HIST 3377
HIST 4380 Topics in Intellectual History,HIST 4380
"IPEC 4305 Topics in Science, Technology and Institutions",IPEC 4305
LIT 3316 The Literature of Science Fiction,LIT 3316
LIT 3317 The Literature of Fantasy,LIT 3317
LIT 3330 Linguistics,LIT 3330
OBHR 4310 Business Ethics,OBHR 4310
PSCI 3301 Political Theory,PSCI 3301
PSCI 3303 Civil Liberties,PSCI 3303
PSCI 3306 Political Economy,PSCI 3306
PSCI 4328 Fake News,PSCI 4328
PSCI 4334 Approaches to Peace,PSCI 4334
PSCI 4357 Human Rights,PSCI 4357
PSY 3324 Psychology of Gender,PSY 3324
PSY 3331 Social Psychology,PSY 3331
PSY 4325 Death and Dying,PSY 4325
SOC 2305 Individual and Society,SOC 2305
SOC 2320 Contemporary Social Issues,SOC 2320
SOC 3303 Classical Social Theory,SOC 3303
