Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1314 College Algebra,MATH 1314
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
CRIM 1301 Introduction to Criminal Justice,CRIM 1301
ECON 2301 Principles of Macroeconomics,ECON 2301
ECON 2302 Principles of Microeconomics,ECON 2302
SOC 1301 Introduction to Sociology,SOC 1301
EPPS 2301 Research Design in the Social and Policy Sciences,EPPS 2301
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
PSCI 3322 Constitutional Law,PSCI 3322
PSCI 3333 Political Behavior,PSCI 3333
PSCI 3301 Political Theory,PSCI 3301
PSCI 3328 International Relations,PSCI 3328
PSCI 3350 Comparative Politics,PSCI 3350
PSCI 4329 Global Politics,PSCI 4329
PSCI 3362 The American Political Institutions,PSCI 3362
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
