Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"SOC 1301 Introduction to Sociology, ",SOC 1301
"EPPS 2301 Research Design in the Social and Policy Sciences, ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, ",EPPS 2302
ECON 2301 Principles of Macroeconomics,ECON 2301
or ECON 2302 Principles of Microeconomics,ECON 2302
"EPPS 2301 Research Design in the Social and Policy Sciences, ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, ",EPPS 2302
"SOC 1301 Introduction to Sociology, ",SOC 1301
SOC 3303 Classical Social Theory,SOC 3303
SOC 3305 Applied Data Analysis,SOC 3305
SOC 3381 Field Research Methods,SOC 3381
"SOC 4302 Class, Status, and Power",SOC 4302
SOC 4306 Advanced Sociological Research,SOC 4306
SOC 4385 Global Health and Society,SOC 4385
SOC 4388 Religions in Global Societies,SOC 4388
SOC 4369 Public Health and Society,SOC 4369
SOC 4372 Health and Illness,SOC 4372
SOC 4385 Global Health and Society,SOC 4385
ECON 3330 Economics of Health,ECON 3330
GEOG 3357 Spatial Dimensions of Health and Disease,GEOG 3357
GEOG 3372 Population and Development,GEOG 3372
HIST 3328 History and Philosophy of Science and Medicine,HIST 3328
HLTH 1322 Human Nutrition,HLTH 1322
HLTH 3301 Issues in Geriatric Healthcare,HLTH 3301
HLTH 3305 The U.S. Healthcare System,HLTH 3305
HLTH 3310 Health Care Issues: Global Perspectives,HLTH 3310
HLTH 4380 Special Topics in Healthcare,HLTH 4380
HMGT 3301 Introduction to Healthcare Management,HMGT 3301
PSY 4328 Health Psychology,PSY 4328
PSY 4346 Human Sexuality,PSY 4346
"SOC 4357 Drugs, Alcohol and Society",SOC 4357
SOC 4371 Mental Health and Illness,SOC 4371
SOC 4372 Health and Illness,SOC 4372
SPAN 3330 Medical Spanish,SPAN 3330
SOC 1301 Introduction to Sociology,SOC 1301
SOC 3303 Classical Social Theory,SOC 3303
"SOC 4302 Class, Status, and Power",SOC 4302
