Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1326 Applied Calculus II, , ",MATH 1326
or PHIL 2303 Introduction to Logic,PHIL 2303
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1325 Applied Calculus I, , , ",MATH 1325
"MATH 1326 Applied Calculus II, , ",MATH 1326
or PHIL 2303 Introduction to Logic,PHIL 2303
or OPRE 3340 Advanced Business Quantitative Methods,OPRE 3340
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
OPRE 3333 Quantitative Business Analysis,OPRE 3333
"or MATH 2333 Matrices, Vectors, and Their Application",MATH 2333
or MATH 2418 Linear Algebra,MATH 2418
or CS 2305 Discrete Mathematics for Computing I,CS 2305
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
or OBHR 3310 Organizational Behavior,OBHR 3310
MKT 3300 Principles of Marketing,MKT 3300
ACCT 4395 Capstone Senior Project - Accounting,ACCT 4395
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
ACCT 3312 Introduction to Accounting Analytics,ACCT 3312
ACCT 3331 Intermediate Financial Accounting I,ACCT 3331
ACCT 3332 Intermediate Financial Accounting II,ACCT 3332
ACCT 3341 Cost Management Systems,ACCT 3341
ACCT 3350 Fundamentals of Taxation,ACCT 3350
ACCT 4334 Auditing,ACCT 4334
ACCT 4342 Accounting Information Systems and Financial Reporting,ACCT 4342
ACCT 4V80 Professional Internship in Accounting,ACCT 4V80
BA 4090 Management Internship,BA 4090
ACCT 3322 Integrated Accounting Information Systems,ACCT 3322
ACCT 4301 Database Systems,ACCT 4301
ACCT 4302 Accounting Research,ACCT 4302
ACCT 4336 Financial Statement Analysis,ACCT 4336
ACCT 4337 Business Valuation,ACCT 4337
ACCT 4340 Survey of Accounting Software,ACCT 4340
FIN 3330 Personal Financial Planning,FIN 3330
FIN 3360 Entrepreneurial Finance,FIN 3360
FIN 3380 International Financial Management,FIN 3380
FIN 3390 Introduction to Financial Modeling,FIN 3390
ITSS 4340 Enterprise Resource Planning,ITSS 4340
OPRE 4350 Spreadsheet Modeling and Analytics,OPRE 4350
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
