Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
"MATH 2417 Calculus I, , ",MATH 2417
PHYS 2325 Mechanics,PHYS 2325
"or PHYS 2421 Honors Physics I - Mechanics and Heat,  ",PHYS 2421
or CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
PHYS 2326 Electromagnetism and Waves,PHYS 2326
or PHYS 2422 Honors Physics II - Electromagnetism and Waves,PHYS 2422
or CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
ECON 2302 Principles of Microeconomics,ECON 2302
"MATH 2417 Calculus I, , ",MATH 2417
"MATH 2419 Calculus II, , ",MATH 2419
"PHYS 2125 Physics Laboratory I, ",PHYS 2125
"or PHYS 2421 Honors Physics I - Mechanics and Heat,  ",PHYS 2421
"or CHEM 1111 General Chemistry Laboratory I, ",CHEM 1111
UNIV 1010 Comets to the Core Pre-Assessment,UNIV 1010
NATS 1101 Natural Sciences and Mathematics Freshman Seminar,NATS 1101
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BCOM 3300 Professionalism and Communication in Business,BCOM 3300
CS 1336 Programming Fundamentals,CS 1336
CS 1136 Computer Science Laboratory,CS 1136
CS 1337 Computer Science I,CS 1337
or MATH 2370 Introduction to Programming with MATLAB,MATH 2370
ECON 2301 Principles of Macroeconomics,ECON 2301
ECON 2302 Principles of Microeconomics,ECON 2302
"MATH 2417 Calculus I, ,  ",MATH 2417
MATH 2418 Linear Algebra,MATH 2418
"MATH 2419 Calculus II, ,  ",MATH 2419
MATH 2420 Differential Equations with Applications,MATH 2420
"PHYS 2325 Mechanics,  and PHYS 2125 Physics Laboratory I, ",PHYS 2325
"or PHYS 2421 Honors Physics I - Mechanics and Heat, , , ",PHYS 2421
"or CHEM 1311 General Chemistry I,  and CHEM 1111 General Chemistry Laboratory I, ",CHEM 1311
"or CHEM 1315 Honors Freshman Chemistry I,  and CHEM 1115 Honors Freshman Chemistry Laboratory I",CHEM 1315
"PHYS 2326 Electromagnetism and Waves, ",PHYS 2326
"or PHYS 2422 Honors Physics II - Electromagnetism and Waves, , ",PHYS 2422
"or CHEM 1312 General Chemistry II, ",CHEM 1312
"or CHEM 1316 Honors Freshman Chemistry II, ",CHEM 1316
PHYS 2126 Physics Laboratory II,PHYS 2126
or CHEM 1112 General Chemistry Laboratory II,CHEM 1112
or CHEM 1116 Honors Freshman Chemistry Laboratory II,CHEM 1116
ACTS 4301 Long Term Actuarial Mathematics I,ACTS 4301
ACTS 4302 Investment and Financial Markets,ACTS 4302
ACTS 4303 Long Term Actuarial Mathematics II,ACTS 4303
ACTS 4304 Short Term Actuarial Mathematics I,ACTS 4304
ACTS 4305 Short Term Actuarial Mathematics II,ACTS 4305
ACTS 4307 Statistics for Risk Modeling,ACTS 4307
ACTS 4308 Actuarial Financial Mathematics,ACTS 4308
ACTS 4309 Theory of Options,ACTS 4309
ACTS 4310 Predictive Analytics,ACTS 4310
MATH 3351 Advanced Calculus,MATH 3351
ITSS 3300 Information Technology for Business,ITSS 3300
ITSS 4301 Database Systems,ITSS 4301
STAT 3355 Data Analysis for Statisticians and Actuaries,STAT 3355
STAT 4351 Probability,STAT 4351
STAT 4352 Mathematical Statistics,STAT 4352
STAT 4382 Stochastic Processes,STAT 4382
RMIS 3370 Principles of Risk Management and Insurance,RMIS 3370
RMIS 4331 Business Liability Risk Management and Insurance,RMIS 4331
MATH 3310 Theoretical Concepts of Calculus,MATH 3310
MATH 3311 Abstract Algebra I,MATH 3311
MATH 3379 Complex Variables,MATH 3379
MATH 4334 Numerical Analysis,MATH 4334
