Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
"MATH 2417 Calculus I, ",MATH 2417
"or MATH 2413 Differential Calculus, ",MATH 2413
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"MATH 2417 Calculus I, ",MATH 2417
"or MATH 2413 Differential Calculus, ",MATH 2413
"MATH 2419 Calculus II, ",MATH 2419
"or MATH 2414 Integral Calculus, ",MATH 2414
"PHYS 2125 Physics Laboratory I, ",PHYS 2125
or PHYS 2421 Honors Physics I - Mechanics and Heat,PHYS 2421
BIOL 2111 Introduction to Modern Biology Workshop I,BIOL 2111
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
or CHEM 1115 Honors Freshman Chemistry Laboratory I,CHEM 1115
CHEM 1112 General Chemistry Laboratory II,CHEM 1112
or CHEM 1116 Honors Freshman Chemistry Laboratory II,CHEM 1116
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
CHEM 2323 Introductory Organic Chemistry I,CHEM 2323
or CHEM 2327 Honors Organic Chemistry I,CHEM 2327
CHEM 2325 Introductory Organic Chemistry II,CHEM 2325
or CHEM 2328 Honors Organic Chemistry II,CHEM 2328
CHEM 2233 Introductory Organic Chemistry Laboratory,CHEM 2233
or CHEM 2237 Honors Organic Chemistry Laboratory,CHEM 2237
CHEM 2401 Introductory Quantitative Methods in Chemistry,CHEM 2401
"PHYS 2325 Mechanics and PHYS 2125 Physics Laboratory I, ",PHYS 2325
"or PHYS 2421 Honors Physics I - Mechanics and Heat, ",PHYS 2421
PHYS 2326 Electromagnetism and Waves,PHYS 2326
or PHYS 2422 Honors Physics II - Electromagnetism and Waves,PHYS 2422
PHYS 2126 Physics Laboratory II,PHYS 2126
BIOL 3101 Classical and Molecular Genetics Workshop,BIOL 3101
BIOL 3102 Eukaryotic Molecular and Cell Biology Workshop,BIOL 3102
BIOL 3161 Biochemistry Workshop I,BIOL 3161
BIOL 3162 Biochemistry Workshop II,BIOL 3162
BIOL 3301 Classical and Molecular Genetics,BIOL 3301
BIOL 3302 Eukaryotic Molecular and Cell Biology,BIOL 3302
BIOL 3380 Biochemistry Laboratory,BIOL 3380
BIOL 3361 or CHEM 3361 Biochemistry I,BIOL 3361
BIOL 3362 or CHEM 3362 Biochemistry II,BIOL 3362
CHEM 3321 Physical Chemistry I,CHEM 3321
CHEM 3322 Physical Chemistry II,CHEM 3322
CHEM 3472 Instrumental Analysis,CHEM 3472
STAT 2332 Introductory Statistics for Life Sciences is strongly recommended.,STAT 2332
