Full Course Name,Course Code
RHET 1302 Rhetoric,RHET 1302
ECS 3390 Professional and Technical Communication,ECS 3390
MATH 2417 Calculus I,MATH 2417
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
MATH 2417 Calculus I,MATH 2417
MATH 2419 Calculus II,MATH 2419
PHYS 2125 Physics Laboratory I,PHYS 2125
CHEM 1311 General Chemistry I,CHEM 1311
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
CHEM 1312 General Chemistry II,CHEM 1312
CHEM 2324 Introductory Organic Chemistry for Engineers,CHEM 2324
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
BIOL 2111 Introduction to Modern Biology Workshop I,BIOL 2111
BIOL 2281 Introductory Biology Laboratory,BIOL 2281
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 2126 Physics Laboratory II,PHYS 2126
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
ECS 1100 Introduction to Engineering and Computer Science,ECS 1100
ECS 3390 Professional and Technical Communication,ECS 3390
ENGR 2300 Linear Algebra for Engineers,ENGR 2300
ENGR 3300 Advanced Engineering Mathematics,ENGR 3300
ENGR 3341 Probability Theory and Statistics,ENGR 3341
BMEN 1100 Introduction to Bioengineering I,BMEN 1100
BMEN 1208 Introduction to Bioengineering II,BMEN 1208
BMEN 1300 Introduction to Biomedical Engineering Computing,BMEN 1300
BMEN 2320 Statics,BMEN 2320
BMEN 3200 Biomedical Engineering Fundamentals and Design,BMEN 3200
BMEN 3220 Electrical and Electronic Circuits in Biomedical Engineering Lab,BMEN 3220
BMEN 3302 Bioengineering Signals and Systems,BMEN 3302
BMEN 3320 Electrical and Electronic Circuits in Biomedical Engineering,BMEN 3320
BMEN 3331 Cell and Molecular Engineering,BMEN 3331
BMEN 3332 Quantitative Physiology for Engineers,BMEN 3332
BMEN 3315 Thermodynamics and Physical Chemistry in Biomedical Engineering,BMEN 3315
BMEN 3399 Introductory Biomechanics,BMEN 3399
BMEN 4310 Feedback Systems in Biomedical Engineering,BMEN 4310
BMEN 4360 Biomaterials and Medical Devices,BMEN 4360
BMEN 4388 Senior Design Project I,BMEN 4388
BMEN 4389 Senior Design Project II,BMEN 4389
