Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1326 Applied Calculus II, , ",MATH 1326
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
"MATH 1326 Applied Calculus II, , , ",MATH 1326
OPRE 3333 Quantitative Business Analysis,OPRE 3333
"or MATH 2333 Matrices, Vectors, and Their Application, ",MATH 2333
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty ,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
ITSS 3311 Introduction to Programming,ITSS 3311
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3310 Organizational Behavior,OBHR 3310
or OBHR 3330 Introduction to Human Resource Management,OBHR 3330
MKT 3300 Principles of Marketing,MKT 3300
BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
ITSS 4300 Database Fundamentals,ITSS 4300
ITSS 4351 Foundations of Business Intelligence,ITSS 4351
ITSS 4352 Introduction to Web Analytics,ITSS 4352
ITSS 4353 Business Analytics,ITSS 4353
ITSS 4354 Advanced Big Data Analytics,ITSS 4354
ITSS 4355 Data Visualization,ITSS 4355
ITSS 4380 Advanced Database Management,ITSS 4380
ITSS 4381 Object Oriented Programming with Python,ITSS 4381
BUAN 4395 Capstone Senior Project - Business Analytics,BUAN 4395
BUAN 4090 Business Analytics Internship,BUAN 4090
or BA 4090 Management Internship,BA 4090
MKT 4330 Digital and Internet Marketing,MKT 4330
MKT 4331 Digital Prospecting,MKT 4331
MKT 4334 Social Media Marketing,MKT 4334
MKT 4337 Marketing Analytics,MKT 4337
OPRE 3320 Integrated Supply Chain Management,OPRE 3320
OPRE 4320 Integrated SCM Information Systems,OPRE 4320
OPRE 4330 Global Logistics and Inventory Management,OPRE 4330
OPRE 4350 Spreadsheet Modeling and Analytics,OPRE 4350
FIN 3370 Principles of Risk Management and Insurance,FIN 3370
FIN 4334 Insurance Law and Contracts,FIN 4334
FIN 4338 Financial Decision-Making Processes for Risk Management,FIN 4338
FIN 4345 Financial Information and Analysis,FIN 4345
FIN 4386 Beginning Mathematical Finance,FIN 4386
FIN 4387 Computational Methods in Finance,FIN 4387
ITSS 4330 Systems Analysis and Design,ITSS 4330
ITSS 4340 Enterprise Resource Planning,ITSS 4340
ITSS 4344 CRM using Salesforce,ITSS 4344
ITSS 4360 Network and Information Security,ITSS 4360
ITSS 4382 Applied Artificial Intelligence/Machine Learning,ITSS 4382
ITSS 4383 Advanced Applied Artificial Intelligence/Machine Learning,ITSS 4383
MECO 4352 Applied Econometrics and Time Series Analysis,MECO 4352
MECO 4370 Data Science Decision Making,MECO 4370
