Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
or MATH 2417 Calculus I,MATH 2417
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 2331 Masterpieces of World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
ARTS 1301 Exploration of the Arts,ARTS 1301
AHST 1303 Survey of Western Art History: Ancient to Medieval,AHST 1303
AHST 1304 Survey of Western Art History: Renaissance to Modern,AHST 1304
AHST 2331 Understanding Art,AHST 2331
DANC 1310 Understanding Dance,DANC 1310
THEA 1310 Understanding Theater,THEA 1310
FILM 2332 Understanding Film,FILM 2332
MUSI 1306 Understanding Music,MUSI 1306
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
HIST 2301 History of Texas,HIST 2301
HIST 2330 Themes and Ideas in American History,HIST 2330
HIST 2332 Civil War and Reconstruction,HIST 2332
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
PSY 2314 Lifespan Development,PSY 2314
PSY 2364 Animal Communication,PSY 2364
CGS 2301 Cognitive Science,CGS 2301
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
CLDP 3303 Normal Language Development,CLDP 3303
or CLDP 3305 Language and Literacy Development,CLDP 3305
CLDP 3310 Child Development,CLDP 3310
or CLDP 3339 Educational Psychology,CLDP 3339
CLDP 3332 Social and Personality Development,CLDP 3332
CLDP 3342 Exceptional Children,CLDP 3342
or CLDP 4344 Child Psychopathology,CLDP 4344
CLDP 3362 Cognitive Development,CLDP 3362
or CLDP 3365 Child Learning,CLDP 3365
PSY 3392 Research Design and Analysis,PSY 3392
CLDP 3394 Research and Evaluation Methods,CLDP 3394
CLDP 4394 Internship,CLDP 4394
or BBSU 3310 Community-Based Service Learning,BBSU 3310
or CLDP 4395 Co-op Fieldwork,CLDP 4395
or CLDP 4397 Thesis Research (Honors Thesis),CLDP 4397
or CLDP 4V96 Teaching Internship,CLDP 4V96
or CLDP 4V98 Directed Research,CLDP 4V98
or CLDP 4V99 Individual Study,CLDP 4V99
PSY 3310 Child Development,PSY 3310
or PSY 3339 Educational Psychology,PSY 3339
PSY 3332 Social and Personality Development,PSY 3332
PSY 3362 Cognitive Development,PSY 3362
PSY 3342 Exceptional Children,PSY 3342
PSY 4344 Child Psychopathology,PSY 4344
PSY 4373 Psychological Assessment,PSY 4373
PSY 4394 Internship in Psychology,PSY 4394
or ED 4693 Student Teaching - Elementary (approval of the Teacher Development Center required),ED 4693
SPAU 3303 Normal Language Development,SPAU 3303
SPAU 3305 Language and Literacy Development,SPAU 3305
SPAU 4308 Language Disorders in Children,SPAU 4308
