Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 2417 Calculus I or MATH 2413 Differential Calculus (Note: MATH 2417 is recommended),MATH 2417
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 2331 Masterpieces of World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
AHST 1303 Survey of Western Art History: Ancient to Medieval,AHST 1303
AHST 1304 Survey of Western Art History: Renaissance to Modern,AHST 1304
AHST 2331 Understanding Art,AHST 2331
ARTS 1301 Exploration of the Arts,ARTS 1301
DANC 1310 Understanding Dance,DANC 1310
THEA 1310 Understanding Theater,THEA 1310
FILM 2332 Understanding Film,FILM 2332
MUSI 1306 Understanding Music,MUSI 1306
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
HIST 2301 History of Texas,HIST 2301
HIST 2330 Themes and Ideas in American History,HIST 2330
HIST 2332 Civil War and Reconstruction,HIST 2332
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
PSY 2301 Introduction to Psychology,PSY 2301
MATH 2419 Calculus II or MATH 2414 Integral Calculus (Note: MATH 2419 is recommended),MATH 2419
CGS 2301 Cognitive Science,CGS 2301
CGS 2301 Cognitive Science,CGS 2301
CS 1337 Computer Science I,CS 1337
MATH 2417 Calculus I or MATH 2413 Differential Calculus,MATH 2417
MATH 2419 Calculus II or MATH 2414 Integral Calculus,MATH 2419
MATH 2418 Linear Algebra,MATH 2418
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or CS 3341 Probability and Statistics in Computer Science and Software Engineering,CS 3341
CS 2305 Discrete Mathematics for Computing I,CS 2305
CS 2336 Computer Science II,CS 2336
CGS 3361 Cognitive Psychology,CGS 3361
NSC 3361 Introduction to Neuroscience,NSC 3361
PSY 3392 Research Design and Analysis,PSY 3392
CGS 3340 Experimental Projects in Cognitive Science,CGS 3340
or PSY 3393 Experimental Projects in Psychology,PSY 3393
CGS 3325 Historical Perspectives on Psychology: Mind and Machines since 1600,CGS 3325
CGS 4359 Cognitive Neuroscience,CGS 4359
CGS 4362 Perception,CGS 4362
CGS 4352 Human Computer Interactions I,CGS 4352
CGS 4353 Human Computer Interactions II,CGS 4353
PSY 3331 Social Psychology,PSY 3331
PSY 4343 Abnormal Psychology,PSY 4343
PSY 2314 Lifespan Development,PSY 2314
PSY 3310 Child Development,PSY 3310
PSY 3362 Cognitive Development,PSY 3362
NSC 4352 Cellular Neuroscience,NSC 4352
NSC 4354 Integrative Neuroscience,NSC 4354
NSC 4356 Neurophysiology,NSC 4356
NSC 4366 Neuroanatomy,NSC 4366
NSC 4363 Neuropharmacology,NSC 4363
NSC 4367 Developmental Neurobiology,NSC 4367
NSC 4359 Cognitive Neuroscience,NSC 4359
NSC 4353 Neuroscience Laboratory Methods,NSC 4353
NSC 4357 Neurobiology of Learning and Memory,NSC 4357
NSC 4362 Molecular Neuroscience,NSC 4362
NSC 4371 Neural Plasticity,NSC 4371
NSC 4373 Sensory Neuroscience,NSC 4373
NSC 4385 Neuropsychology,NSC 4385
CS 3341 Probability and Statistics in Computer Science and Software Engineering,CS 3341
CGS 3342 Cognitive and Neural Modeling Laboratory,CGS 3342
CGS 4312 Computational Modeling Methods for Language Understanding,CGS 4312
CGS 4313 Neural Net Mathematics,CGS 4313
CGS 4314 Intelligent Systems Analysis,CGS 4314
CGS 4315 Intelligent Systems Design,CGS 4315
CS 3345 Data Structures and Introduction to Algorithmic Analysis,CS 3345
CS 4365 Artificial Intelligence,CS 4365
CS 4375 Introduction to Machine Learning,CS 4375
CS 4391 Introduction to Computer Vision,CS 4391
CS 4395 Human Language Technologies,CS 4395
