Full Course Name,Course Code
RHET 1302 Rhetoric,RHET 1302
ECS 3390 Professional and Technical Communication,ECS 3390
MATH 2417 Calculus I,MATH 2417
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
MATH 2417 Calculus I,MATH 2417
MATH 2419 Calculus II,MATH 2419
PHYS 2125 Physics Laboratory I,PHYS 2125
CE 1100 Introduction to Electrical and Computer Engineering,CE 1100
CE 1202 Introduction to Electrical and Computer Engineering II,CE 1202
CS 1136 Computer Science Laboratory,CS 1136
CS 1336 Programming Fundamentals,CS 1336
CE 1337 Computer Science I,CE 1337
ECS 1100 Introduction to Engineering and Computer Science,ECS 1100
ENGR 2300 Linear Algebra for Engineers,ENGR 2300
CE 2305 Discrete Mathematics for Computing I,CE 2305
CE 2310 Introduction to Digital Systems,CE 2310
CE 2336 Computer Science II,CE 2336
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 2126 Physics Laboratory II,PHYS 2126
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
MATH 2420 Differential Equations with Applications,MATH 2420
MATH 2420 Differential Equations with Applications,MATH 2420
CE 3161 Social Issues and Ethics in Engineering,CE 3161
CE 3201 Electrical and Computer Engineering Fundamentals-I Laboratory,CE 3201
CE 3202 Electrical and Computer Engineering Fundamentals-II Laboratory,CE 3202
ECS 3390 Professional and Technical Communication,ECS 3390
CE 3301 Electrical Network Analysis,CE 3301
CE 3303 Discrete-Time Signals and Systems,CE 3303
CE 3311 Electronic Circuits,CE 3311
CE 3320 Digital Circuits,CE 3320
ENGR 3341 Probability Theory and Statistics,ENGR 3341
CE 3345 Data Structures and Introduction to Algorithmic Analysis,CE 3345
CE 3354 Software Engineering,CE 3354
CE 4304 Computer Architecture,CE 4304
CE 4348 Operating Systems Concepts,CE 4348
CE 4370 Embedded Systems,CE 4370
CE 4388 Senior Design Project I,CE 4388
CE 4389 Senior Design Project II,CE 4389
CE 4201 Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering,CE 4201
CE 4202 Electrical and Computer Engineering Laboratory in Circuits,CE 4202
CE 4203 Electrical and Computer Engineering Laboratory in Signals and Systems,CE 4203
CE 4204 Electrical and Computer Engineering Laboratory in Devices,CE 4204
CE 4205 Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems,CE 4205
EE 4325 Introduction to VLSI Design,EE 4325
EE 4330 Integrated Circuit Technology,EE 4330
EE 4340 Analog Integrated Circuit Analysis and Design,EE 4340
EE 4342 Introduction to Robotics,EE 4342
EE 4360 Digital Communications,EE 4360
EE 4361 Introduction to Digital Signal Processing,EE 4361
EE 4363 Introduction to Power Electronics,EE 4363
EE 4365 Introduction to Wireless Communication,EE 4365
EE 4367 Telecommunication Networks,EE 4367
EE 4371 Introduction to MEMS,EE 4371
CE 4331 Applied Machine Learning,CE 4331
CS 4332 Introduction to Programming Video Games,CS 4332
CS 4334 Numerical Analysis,CS 4334
CS 4337 Programming Language Paradigms,CS 4337
CS 4347 Database Systems,CS 4347
CS 4352 Human-Computer Interaction I,CS 4352
CS 4361 Computer Graphics,CS 4361
CS 4365 Artificial Intelligence,CS 4365
CS 4375 Introduction to Machine Learning,CS 4375
CS 4384 Automata Theory,CS 4384
CS 4389 Data and Applications Security,CS 4389
CS 4390 Computer Networks,CS 4390
CS 4392 Computer Animation,CS 4392
CS 4393 Computer and Network Security,CS 4393
CS 4398 Digital Forensics,CS 4398
