Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1326 Applied Calculus II, , ",MATH 1326
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
"MATH 1326 Applied Calculus II, , ",MATH 1326
or OPRE 3340 Advanced Business Quantitative Methods,OPRE 3340
"MATH 2333 Matrices, Vectors, and Their Application, ",MATH 2333
or OPRE 3333 Quantitative Business Analysis,OPRE 3333
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
or STAT 4351 Probability,STAT 4351
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
or OBHR 3310 Organizational Behavior,OBHR 3310
MKT 3300 Principles of Marketing,MKT 3300
FIN 3390 Introduction to Financial Modeling,FIN 3390
FIN 4300 Investment Management*,FIN 4300
FIN 4310 Intermediate Financial Management,FIN 4310
FIN 4395 Capstone Senior Project - Finance,FIN 4395
or FIN 4328 Real Estate Valuation,FIN 4328
or FIN 4333 Enterprise Risk Management,FIN 4333
or FIN 4380 Fund Management,FIN 4380
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
FIN 4V80 Practicum in Finance,FIN 4V80
FIN 4080 Finance Internship,FIN 4080
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
