Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
"MATH 2413 Differential Calculus, ",MATH 2413
"or MATH 2417 Calculus I, ",MATH 2417
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
GEOS 1303 Physical Geology,GEOS 1303
GEOS 1304 History of Earth and Life,GEOS 1304
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
or CHEM 1115 Honors Freshman Chemistry Laboratory I,CHEM 1115
CHEM 1112 General Chemistry Laboratory II,CHEM 1112
or CHEM 1116 Honors Freshman Chemistry Laboratory II,CHEM 1116
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
GEOS 1303 Physical Geology,GEOS 1303
GEOS 1304 History of Earth and Life,GEOS 1304
GEOS 1103 Physical Geology Laboratory,GEOS 1103
GEOS 1104 History of Earth and Life Laboratory,GEOS 1104
GEOS 2409 Rocks and Minerals,GEOS 2409
"MATH 2413 Differential Calculus, ",MATH 2413
"or MATH 2417 Calculus I, ",MATH 2417
MATH 2414 Integral Calculus,MATH 2414
or MATH 2419 Calculus II,MATH 2419
PHYS 2325 Mechanics and PHYS 2125 Physics Laboratory I,PHYS 2325
or PHYS 2421 Honors Physics I - Mechanics and Heat,PHYS 2421
PHYS 2326 Electromagnetism and Waves,PHYS 2326
or PHYS 2422 Honors Physics II - Electromagnetism and Waves,PHYS 2422
PHYS 2126 Physics Laboratory II,PHYS 2126
GEOS 2306 Essentials of Field Geologic Methods,GEOS 2306
GEOS 3300 Field Geology I (Summer Field Camp I),GEOS 3300
GEOS 3421 Stratigraphy and Sedimentology,GEOS 3421
GEOS 3464 Igneous and Metamorphic Petrology,GEOS 3464
GEOS 3470 Structural Geology,GEOS 3470
GEOS 4300 Field Geology II (Summer Field Camp II),GEOS 4300
GEOS 4320 The Physics and Chemistry of the Solid Earth,GEOS 4320
GEOS 4390 Communication in the Geosciences,GEOS 4390
GEOS 3434 Paleobiology,GEOS 3434
GEOS 4322 The Earth System,GEOS 4322
GEOS 4430 Hydrogeology and Aqueous Geochemistry,GEOS 4430
MATH 2415 Calculus of Several Variables,MATH 2415
MATH 2418 Linear Algebra,MATH 2418
MATH 3351 Advanced Calculus,MATH 3351
PHYS 3330 Numerical Methods in Physics and Computational Techniques,PHYS 3330
MATH 2418 Linear Algebra,MATH 2418
MATH 2420 Differential Equations with Applications,MATH 2420
MATH 3351 Advanced Calculus,MATH 3351
MATH 4362 Partial Differential Equations,MATH 4362
PHYS 3411 Theoretical Physics,PHYS 3411
PHYS 3312 Classical Mechanics,PHYS 3312
PHYS 3416 Electricity and Magnetism,PHYS 3416
