Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1325 Applied Calculus I,MATH 1325
ENVR 2302 or GEOG 2302 or GEOS 2302 The Global Environment,ENVR 2302
GEOS 1303 Physical Geology,GEOS 1303
"NATS 1311 The Universe, and Everything Else",NATS 1311
"NATS 2333 Energy, Water, and the Environment",NATS 2333
PHYS 1301 College Physics I,PHYS 1301
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
CRIM 1301 Introduction to Criminal Justice,CRIM 1301
CRIM 1307 Introduction to Crime and Criminology,CRIM 1307
ECON 2301 Principles of Macroeconomics,ECON 2301
ECON 2302 Principles of Microeconomics,ECON 2302
GEOG 2303 People and Place: An Introduction to World Geographic Regions,GEOG 2303
SOC 1301 Introduction to Sociology,SOC 1301
EPPS 2301 Research Design in the Social and Policy Sciences,EPPS 2301
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
ENVR 2302 or GEOG 2302 or GEOS 2302 The Global Environment,ENVR 2302
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences,EPPS 2302
GEOG 2303 People and Place: An Introduction to World Geographic Regions,GEOG 2303
GEOG 3377 or PA 3377 Urban Planning and Policy,GEOG 3377
GISC 2305 or GEOS 2305 Spatial Thinking and Data Analytics,GISC 2305
GISC 3304 or GEOG 3304 or GEOS 3304 Principles of Geospatial Information Sciences,GISC 3304
GISC 4381 Spatial Data Science,GISC 4381
GISC 4325 or GEOS 4325 Introduction to Remote Sensing,GISC 4325
GISC 4326 Cartography and GeoVisualization,GISC 4326
GISC 4382 Applied Geographic Information Systems,GISC 4382
GISC 4386 Global Change and Its Challenges,GISC 4386
GISC 4317 Introductory Programming for Social and Geospatial Science,GISC 4317
GISC 4363 Internet Mapping and Information Processing,GISC 4363
GISC 4384 Health and Environmental GIS: A Global Perspective,GISC 4384
GISC 4385 Advanced Applications in GIS,GISC 4385
GEOG 3331 Urban Growth and Structure,GEOG 3331
GEOG 3357 Spatial Dimensions of Health and Disease,GEOG 3357
GEOG 3359 Human Migration and Mobility: Global Patterns,GEOG 3359
GEOG 3370 The Global Economy,GEOG 3370
GEOG 3372 Population and Development,GEOG 3372
MATH 2413 Differential Calculus,MATH 2413
GEOG 2302 The Global Environment,GEOG 2302
GEOG 2303 People and Place: An Introduction to World Geographic Regions,GEOG 2303
GEOG 3304 Principles of Geospatial Information Sciences,GEOG 3304
GISC 2305 Spatial Thinking and Data Analytics,GISC 2305
GISC 3304 or GEOG 3304 Principles of Geospatial Information Sciences,GISC 3304
GISC 4325 Introduction to Remote Sensing,GISC 4325
