Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3310 Organizational Behavior,OBHR 3310
or OBHR 3330 Introduction to Human Resource Management,OBHR 3330
MKT 3300 Principles of Marketing,MKT 3300
IMS 4395 Capstone Senior Project - Global Business,IMS 4395
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
IMS 4320 or MKT 4320 International Marketing,IMS 4320
FIN 3380 International Financial Management,FIN 3380
IMS 4330 Global Human Resource Management,IMS 4330
IMS 4350 Global Market Entry Strategies,IMS 4350
IMS 4373 Global Strategy,IMS 4373
BLAW 4301 International Law,BLAW 4301
IMS 4310 Export Market Development,IMS 4310
IMS 4340 Managing Global Teams,IMS 4340
IMS 4V90 Management Internship,IMS 4V90
IMS 4090 Management Internship,IMS 4090
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
FIN 3350 Financial Markets and Institutions,FIN 3350
"MECO 4303 Decisions, Behavior, and Business Policy",MECO 4303
MECO 4351 Industrial Organization and Corporate Strategy,MECO 4351
MECO 4352 Applied Econometrics and Time Series Analysis,MECO 4352
"ENGY 3301 Managing Carbon Assets: Oil, Gas, and Coal",ENGY 3301
ENGY 3302 Managing Power and Renewable Energy Assets; Sustainability,ENGY 3302
