Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
or OBHR 3310 Organizational Behavior,OBHR 3310
OPRE 3310 Operations Management,OPRE 3310
MKT 3300 Principles of Marketing,MKT 3300
HMGT 3301 Introduction to Healthcare Management,HMGT 3301
HMGT 3310 Healthcare Regulatory Environment,HMGT 3310
HMGT 3311 Healthcare Financial Analysis,HMGT 3311
HMGT 3320 Complex and Dynamic Healthcare Environment,HMGT 3320
or ECON 3330 Economics of Health,ECON 3330
HMGT 4321 Introduction to Healthcare Information Systems,HMGT 4321
HMGT 4395 Capstone Senior Project - Healthcare Management,HMGT 4395
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
HMGT 3080 Healthcare Management Honors Program Seminar,HMGT 3080
HMGT 4V90 Healthcare Management Internship,HMGT 4V90
HMGT 4090 Healthcare Management Internship,HMGT 4090
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
HMGT 4V81 Individual Study in Healthcare Management,HMGT 4V81
HMGT 3320 Complex and Dynamic Healthcare Environment,HMGT 3320
or ECON 3330 Economics of Health,ECON 3330
ENTP 3301 Innovation and Entrepreneurship,ENTP 3301
ENTP 4320 Small Business Management,ENTP 4320
ITSS 4300 Database Fundamentals,ITSS 4300
ITSS 4330 Systems Analysis and Design,ITSS 4330
ITSS 4340 Enterprise Resource Planning,ITSS 4340
ITSS 4351 Foundations of Business Intelligence,ITSS 4351
MECO 3360 Comparative Institutions of Production and Distribution,MECO 3360
MECO 3361 Comparative Institutions of Production and Distribution II,MECO 3361
"MECO 4303 Decisions, Behavior, and Business Policy",MECO 4303
MKT 4331 Digital Prospecting,MKT 4331
MKT 4332 Advanced Professional Sales,MKT 4332
OBHR 4300 Management of Non-Profit Organizations,OBHR 4300
OBHR 4310 Business Ethics,OBHR 4310
OBHR 4352 Negotiation and Dispute Resolution,OBHR 4352
OPRE 3330 Project Management,OPRE 3330
OPRE 4310 Lean and Six Sigma Processes,OPRE 4310
OPRE 4350 Spreadsheet Modeling and Analytics,OPRE 4350
OPRE 4355 Operations Management in the Healthcare Sector,OPRE 4355
