Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1325 Applied Calculus I,MATH 1325
MATH 2413 Differential Calculus,MATH 2413
CHEM 1311 General Chemistry I,CHEM 1311
CHEM 1312 General Chemistry II,CHEM 1312
ARTS 1301 Exploration of the Arts,ARTS 1301
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
PSY 2301 Introduction to Psychology,PSY 2301
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
or STAT 1342 Statistical Decision Making,STAT 1342
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
BIOL 2111 Introduction to Modern Biology Workshop I,BIOL 2111
BIOL 2312 Introduction to Modern Biology II,BIOL 2312
BIOL 2112 Introduction to Modern Biology Workshop II,BIOL 2112
CHEM 1311 General Chemistry I,CHEM 1311
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
CHEM 1312 General Chemistry II,CHEM 1312
CHEM 1112 General Chemistry Laboratory II,CHEM 1112
MATH 1325 Applied Calculus I,MATH 1325
or MATH 2413 Differential Calculus,MATH 2413
CHEM 2323 Introductory Organic Chemistry I,CHEM 2323
CHEM 2123 Introductory Organic Chemistry Laboratory I,CHEM 2123
CHEM 2325 Introductory Organic Chemistry II,CHEM 2325
CHEM 2125 Introductory Organic Chemistry Laboratory II,CHEM 2125
PHYS 1301 College Physics I,PHYS 1301
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 1302 College Physics II,PHYS 1302
PHYS 2126 Physics Laboratory II,PHYS 2126
CHEM 2323 Introductory Organic Chemistry I,CHEM 2323
CHEM 2123 Introductory Organic Chemistry Laboratory I,CHEM 2123
CHEM 2325 Introductory Organic Chemistry II,CHEM 2325
CHEM 2125 Introductory Organic Chemistry Laboratory II,CHEM 2125
PHYS 1301 College Physics I,PHYS 1301
or PHYS 2325 Mechanics,PHYS 2325
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 1302 College Physics II,PHYS 1302
or PHYS 2326 Electromagnetism and Waves,PHYS 2326
PHYS 2126 Physics Laboratory II,PHYS 2126
HLTH 1100 Career Explorations for the Health Professions,HLTH 1100
HLTH 3101 Medical Terminology,HLTH 3101
HLTH 3300 Pre-Health Professional Development,HLTH 3300
HLTH 3305 The U.S. Healthcare System,HLTH 3305
HLTH 3315 Issues in Patient Education,HLTH 3315
HLTH 4304 Health Professions Internship,HLTH 4304
BIS 3320 The Nature of Intellectual Inquiry,BIS 3320
HLTH 3301 Issues in Geriatric Healthcare,HLTH 3301
HLTH 4305 Public Health,HLTH 4305
HLTH 4380 Special Topics in Healthcare,HLTH 4380
PSY 4328 Health Psychology,PSY 4328
PSY 4343 Abnormal Psychology,PSY 4343
ECON 3330 Economics of Health,ECON 3330
GEOG 3357 Spatial Dimensions of Health and Disease,GEOG 3357
HLTH 3310 Health Care Issues: Global Perspectives,HLTH 3310
HMGT 3301 Introduction to Healthcare Management,HMGT 3301
HLTH 3306 Gender in Healthcare,HLTH 3306
PHIL 3328 History and Philosophy of Science and Medicine,PHIL 3328
PHIL 3320 Medical Ethics,PHIL 3320
PHIL 4321 Philosophy of Medicine,PHIL 4321
SOC 4371 Mental Health and Illness,SOC 4371
SOC 4372 Health and Illness,SOC 4372
UNIV 1010 Freshman Seminar,UNIV 1010
BIS 1100 Interdisciplinary Studies Freshman Seminar,BIS 1100
BIOL 2281 Introductory Biology Laboratory,BIOL 2281
BIOL 3301 Classical and Molecular Genetics,BIOL 3301
BIOL 3101 Classical and Molecular Genetics Workshop,BIOL 3101
BIOL 3302 Eukaryotic Molecular and Cell Biology,BIOL 3302
BIOL 3102 Eukaryotic Molecular and Cell Biology Workshop,BIOL 3102
BIOL 3361 or CHEM 3361 Biochemistry I,BIOL 3361
BIOL 3161 Biochemistry Workshop I,BIOL 3161
BIOL 3362 or CHEM 3362 Biochemistry II,BIOL 3362
BIOL 3162 Biochemistry Workshop II,BIOL 3162
BIOL 3455 Human Anatomy and Physiology with Lab I,BIOL 3455
BIOL 3456 Human Anatomy and Physiology with Lab II,BIOL 3456
BIOL 3520 General Microbiology with Lab,BIOL 3520
BIOL 3370 Exercise Physiology,BIOL 3370
BIOL 4310 Cellular Microbiology,BIOL 4310
BIOL 4345 Immunobiology,BIOL 4345
BIOL 4350 Medical Microbiology,BIOL 4350
BIOL 4V40 Special Topics in Molecular and Cell Biology,BIOL 4V40
HLTH 1301 Introduction to Kinesiology,HLTH 1301
HLTH 1322 Human Nutrition,HLTH 1322
HLTH 3306 Gender in Healthcare,HLTH 3306
HLTH 4306 Health and Sport,HLTH 4306
HLTH 4307 Climate Change in Healthcare,HLTH 4307
HLTH 4V01 Health Professions Independent Study,HLTH 4V01
ISIS 3309 Dental Anthropology,ISIS 3309
ISIS 4V89 Special Topics in Interdisciplinary Studies,ISIS 4V89
NSC 3361 Introduction to Neuroscience,NSC 3361
NSC 4366 Neuroanatomy,NSC 4366
NSC 4351 Medical Neuroscience,NSC 4351
