Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
FIN 3320 Business Finance,FIN 3320
IMS 3310 International Business,IMS 3310
ITSS 3300 Information Technology for Business,ITSS 3300
MKT 3300 Principles of Marketing,MKT 3300
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
OPRE 3310 Operations Management,OPRE 3310
BLAW 3301 Employment Law,BLAW 3301
OBHR 3310 Organizational Behavior,OBHR 3310
OBHR 4331 Compensation and Benefits Administration,OBHR 4331
OBHR 4333 Performance Management,OBHR 4333
OBHR 4334 Talent Acquisition and Management,OBHR 4334
OBHR 4335 Training and Development,OBHR 4335
OBHR 4354 Leading Organizational Change,OBHR 4354
OBHR 4395 Capstone Senior Project - Human Resource Management,OBHR 4395
OBHR 4V90 Management Internship,OBHR 4V90
OBHR 4090 Management Internship,OBHR 4090
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
IMS 4330 Global Human Resource Management,IMS 4330
OBHR 4300 Management of Non-Profit Organizations,OBHR 4300
OBHR 4310 Business Ethics,OBHR 4310
OBHR 4336 Labor and Employee Relations,OBHR 4336
OBHR 4337 HR Analytics,OBHR 4337
OBHR 4338 Managing Diversity in Organizations,OBHR 4338
OBHR 4350 Introduction to Leading and Managing,OBHR 4350
OBHR 4352 Negotiation and Dispute Resolution,OBHR 4352
OBHR 4356 Power and Influence in Organizations,OBHR 4356
OBHR 4361 The Human Resource Professional,OBHR 4361
