Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1326 Applied Calculus II, , ",MATH 1326
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
"MATH 1326 Applied Calculus II, , ",MATH 1326
or OPRE 3340 Advanced Business Quantitative Methods,OPRE 3340
OPRE 3333 Quantitative Business Analysis,OPRE 3333
"or MATH 2333 Matrices, Vectors, and Their Application, ",MATH 2333
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
ITSS 3311 Introduction to Programming,ITSS 3311
"ITSS 3312 Object-Oriented Programming, ",ITSS 3312
"or ITSS 4381 Object Oriented Programming with Python, ",ITSS 4381
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3310 Organizational Behavior,OBHR 3310
or OBHR 3330 Introduction to Human Resource Management,OBHR 3330
MKT 3300 Principles of Marketing,MKT 3300
BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
ITSS 4300 Database Fundamentals,ITSS 4300
ITSS 4330 Systems Analysis and Design,ITSS 4330
ITSS 4360 Network and Information Security,ITSS 4360
ITSS 4351 Foundations of Business Intelligence,ITSS 4351
ITSS 4370 Information Technology Infrastructure,ITSS 4370
ITSS 4395 Capstone Senior Project - Information Systems,ITSS 4395
or BPS 4395 Capstone Senior Project - Business,BPS 4395
ITSS 4090 Information Technology and Systems Internship,ITSS 4090
BA 4090 Management Internship,BA 4090
ITSS 4352 Introduction to Web Analytics,ITSS 4352
ITSS 4353 Business Analytics,ITSS 4353
ITSS 4354 Advanced Big Data Analytics,ITSS 4354
ITSS 4355 Data Visualization,ITSS 4355
ITSS 4340 Enterprise Resource Planning,ITSS 4340
ITSS 4343 Integrated SCM Information Systems,ITSS 4343
ITSS 4344 CRM using Salesforce,ITSS 4344
ACCT 4342 Analysis and Design of Accounting Systems,ACCT 4342
or ACCT 3322 Integrated Accounting Information Systems,ACCT 3322
ITSS 4340 Enterprise Resource Planning,ITSS 4340
MKT 3330 Introduction to Professional Selling,MKT 3330
MKT 4331 Digital Prospecting,MKT 4331
or MKT 4332 Advanced Professional Sales,MKT 4332
ENTP 3301 Innovation and Entrepreneurship,ENTP 3301
ENTP 3320 Start-up Launch I,ENTP 3320
ITSS 4356 Data Governance,ITSS 4356
ITSS 4361 Information Technology Cybersecurity,ITSS 4361
ITSS 4362 Cybersecurity Governance,ITSS 4362
