Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
or OBHR 3310 Organizational Behavior,OBHR 3310
MKT 3300 Principles of Marketing,MKT 3300
MKT 3340 Marketing Research,MKT 3340
MKT 4330 Digital and Internet Marketing,MKT 4330
MKT 3330 Introduction to Professional Selling,MKT 3330
MKT 4395 Capstone Senior Project - Marketing ,MKT 4395
or ENTP 3320 Start-up Launch I,ENTP 3320
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
MKT 4V90 Marketing Internship,MKT 4V90
MKT 4090 Marketing Internship,MKT 4090
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
MKT 3320 Product and Brand Management,MKT 3320
MKT 3331 Principles of Category Management,MKT 3331
MKT 4331 Digital Prospecting,MKT 4331
MKT 4332 Advanced Professional Sales,MKT 4332
MKT 4333 Retailing and Distribution,MKT 4333
MKT 4334 Social Media Marketing,MKT 4334
MKT 4335 Category Buying,MKT 4335
MKT 4336 E-Retailing,MKT 4336
MKT 4337 Marketing Analytics,MKT 4337
MKT 4338 Marketing Content Creation,MKT 4338
MKT 4339 Marketing Creative Skills and Testing,MKT 4339
MKT 4340 Consumer Behavior,MKT 4340
MKT 4341 Predictive Analytics,MKT 4341
MKT 4350 Advertising,MKT 4350
MKT 4360 Social Impact Marketing,MKT 4360
MKT 4370 Marketing Projects,MKT 4370
MKT 4390 Advanced Marketing Analytics,MKT 4390
MKT 4V83 Individual Study in Marketing,MKT 4V83
MKT 4V90 Marketing Internship,MKT 4V90
MKT 4V93 Seminar Series in Marketing,MKT 4V93
ENTP 3301 Innovation and Entrepreneurship,ENTP 3301
ENTP 4311 Entrepreneurial Strategy and Business Models,ENTP 4311
ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
IMS 4310 Export Market Development,IMS 4310
