Full Course Name,Course Code
RHET 1302 Rhetoric,RHET 1302
ECS 3390 Professional and Technical Communication,ECS 3390
"MATH 2417 Calculus I, ",MATH 2417
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"MATH 2417 Calculus I, ",MATH 2417
"MATH 2419 Calculus II, ",MATH 2419
PHYS 2125 Physics Laboratory I,PHYS 2125
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
CHEM 1311 General Chemistry I,CHEM 1311
CS 1325 Introduction to Programming,CS 1325
ECS 1100 Introduction to Engineering and Computer Science,ECS 1100
"MATH 2417 Calculus I, ",MATH 2417
"MATH 2419 Calculus II, ",MATH 2419
MATH 2420 Differential Equations with Applications,MATH 2420
MECH 1100 Introduction to Mechanical Engineering I,MECH 1100
MECH 1208 Introduction to Mechanical Engineering II,MECH 1208
MECH 2120 Mechanics of Materials Laboratory,MECH 2120
ENGR 2300 Linear Algebra for Engineers,ENGR 2300
MECH 2310 Statics,MECH 2310
MECH 2320 Mechanics of Materials,MECH 2320
MECH 2330 Dynamics,MECH 2330
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 2126 Physics Laboratory II,PHYS 2126
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
ECS 3390 Professional and Technical Communication,ECS 3390
MECH 3105 Computer Aided Design Laboratory,MECH 3105
MECH 3115 Fluid Mechanics Laboratory,MECH 3115
MECH 3120 Heat Transfer Laboratory,MECH 3120
MECH 3150 Kinematics and Dynamics Laboratory,MECH 3150
ENGR 3300 Advanced Engineering Mathematics,ENGR 3300
MECH 3305 Computer Aided Design,MECH 3305
MECH 3310 Thermodynamics,MECH 3310
MECH 3315 Fluid Mechanics,MECH 3315
MECH 3320 Heat Transfer,MECH 3320
MECH 3340 System Dynamics Modeling and Analysis,MECH 3340
ENGR 3341 Probability Theory and Statistics,ENGR 3341
MECH 3350 Kinematics and Dynamics of Mechanical Systems,MECH 3350
MECH 3351 Design of Mechanical Systems,MECH 3351
MECH 4110 Systems and Controls Laboratory,MECH 4110
MECH 4310 Systems and Controls,MECH 4310
MECH 4381 Senior Design Project I,MECH 4381
MECH 4382 Senior Design Project II,MECH 4382
MECH 2340 Circuits and Applied Electronics,MECH 2340
MECH 3360 Introduction to Materials Science,MECH 3360
MECH 3370 Applied Thermodynamics,MECH 3370
MECH 3380 Introduction to Computational Design and Analysis,MECH 3380
MECH 3381 Introduction to Manufacturing Processes,MECH 3381
MECH 3V95 Topics in Mechanical Engineering,MECH 3V95
MECH 4301 Intermediate Mechanics of Materials,MECH 4301
MECH 4320 Applications of Computational Tools in Thermal Fluid Science,MECH 4320
MECH 4330 Intermediate Fluid Mechanics,MECH 4330
MECH 4340 Mechanical Vibrations,MECH 4340
MECH 4342 Introduction to Robotics,MECH 4342
MECH 4360 Introduction to Nanostructured Materials,MECH 4360
MECH 4365 Energy Analytics,MECH 4365
MECH 4370 Introduction to MEMS,MECH 4370
MECH 4380 HVAC Systems,MECH 4380
MECH 4V95 Topics in Mechanical Engineering,MECH 4V95
ENTP 3301 Innovation and Entrepreneurship,ENTP 3301
