Full Course Name,Course Code
A BS degree is offered in Molecular Biology. The BS degrees are intended as preparation for scientific careers in biology or careers in the health professions. Biology offers a streamlined double major with Business Administration or Criminology. Fast Track BS / MS Biology and Molecular Biology degree programs are available.,A BS
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
"MATH 2417 Calculus I, ",MATH 2417
"or MATH 2413 Differential Calculus, ",MATH 2413
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
"MATH 2419 Calculus II, ",MATH 2419
"or MATH 2414 Integral Calculus, , ",MATH 2414
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
or CHEM 1115 Honors Freshman Chemistry Laboratory,CHEM 1115
CHEM 1112 General Chemistry Laboratory II,CHEM 1112
or CHEM 1116 Honors Freshman Chemistry Laboratory II,CHEM 1116
CHEM 1311 General Chemistry I,CHEM 1311
or CHEM 1315 Honors Freshman Chemistry I,CHEM 1315
CHEM 1312 General Chemistry II,CHEM 1312
or CHEM 1316 Honors Freshman Chemistry II,CHEM 1316
CHEM 2123 Introductory Organic Chemistry Laboratory I,CHEM 2123
CHEM 2125 Introductory Organic Chemistry Laboratory II,CHEM 2125
CHEM 2323 Introductory Organic Chemistry I,CHEM 2323
CHEM 2325 Introductory Organic Chemistry II,CHEM 2325
"MATH 2417 Calculus I, ",MATH 2417
"or MATH 2413 Differential Calculus, ",MATH 2413
"MATH 2419 Calculus II, ",MATH 2419
"or MATH 2414 Integral Calculus, , ",MATH 2414
MATH 2418 Linear Algebra,MATH 2418
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 2126 Physics Laboratory II,PHYS 2126
PHYS 2325 Mechanics,PHYS 2325
or PHYS 2421 Honors Physics I - Mechanics and Heat ,PHYS 2421
PHYS 2326 Electromagnetism and Waves,PHYS 2326
or PHYS 2422 Honors Physics II - Electromagnetism and Waves,PHYS 2422
BIOL 2111 Introduction to Modern Biology Workshop I,BIOL 2111
BIOL 2112 Introduction to Modern Biology Workshop II,BIOL 2112
BIOL 2281 Introductory Biology Laboratory,BIOL 2281
"BIOL 2311 Introduction to Modern Biology I, ",BIOL 2311
BIOL 2312 Introduction to Modern Biology II,BIOL 2312
BIOL 3101 Classical and Molecular Genetics Workshop,BIOL 3101
BIOL 3102 Eukaryotic Molecular and Cell Biology Workshop,BIOL 3102
BIOL 3161 Biochemistry Workshop I,BIOL 3161
BIOL 3162 Biochemistry Workshop II,BIOL 3162
BIOL 3301 Classical and Molecular Genetics,BIOL 3301
BIOL 3302 Eukaryotic Molecular and Cell Biology,BIOL 3302
BIOL 3361 Biochemistry I,BIOL 3361
BIOL 3362 Biochemistry II,BIOL 3362
or BIOL 3335 Microbial Physiology,BIOL 3335
BIOL 3380 Biochemistry Laboratory,BIOL 3380
BIOL 4380 Cell and Molecular Biology Laboratory,BIOL 4380
or BIOL 3V96 (3 semester credit hours) Undergraduate Research in Molecular and Cell Biology,BIOL 3V96
or BIOL 4399 (3 semester credit hours) Senior Honors Research in Molecular and Cell Biology,BIOL 4399
or BIOL 4391 (3 semester credit hours) Senior Research in Molecular and Cell Biology,BIOL 4391
BIOL 4461 Biophysical Chemistry,BIOL 4461
