Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 2414 Integral Calculus,MATH 2414
or MATH 2417 Calculus I,MATH 2417
CHEM 1311 General Chemistry I,CHEM 1311
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 2331 Masterpieces of World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
AHST 1303 Survey of Western Art History: Ancient to Medieval,AHST 1303
AHST 1304 Survey of Western Art History: Renaissance to Modern,AHST 1304
AHST 2331 Understanding Art,AHST 2331
ARTS 1301 Exploration of the Arts,ARTS 1301
DANC 1310 Understanding Dance,DANC 1310
THEA 1310 Understanding Theater,THEA 1310
FILM 2332 Understanding Film,FILM 2332
MUSI 1306 Understanding Music,MUSI 1306
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
HIST 2301 History of Texas,HIST 2301
HIST 2330 Themes and Ideas in American History,HIST 2330
HIST 2332 Civil War and Reconstruction,HIST 2332
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
CHEM 1312 General Chemistry II,CHEM 1312
BIOL 2111 Introduction to Modern Biology Workshop I,BIOL 2111
BIOL 2281 Introductory Biology Laboratory,BIOL 2281
BIOL 2311 Introduction to Modern Biology I,BIOL 2311
CHEM 1111 General Chemistry Laboratory I,CHEM 1111
CHEM 1311 General Chemistry I,CHEM 1311
CHEM 1112 General Chemistry Laboratory II,CHEM 1112
CHEM 1312 General Chemistry II,CHEM 1312
MATH 2414 Integral Calculus,MATH 2414
or MATH 2417 Calculus I,MATH 2417
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
NSC 3361 Introduction to Neuroscience,NSC 3361
NSC 4352 Cellular Neuroscience,NSC 4352
NSC 4353 Neuroscience Laboratory Methods,NSC 4353
NSC 4354 Integrative Neuroscience,NSC 4354
NSC 4356 Neurophysiology,NSC 4356
NSC 4363 Neuropharmacology,NSC 4363
