Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
or MATH 2417 Calculus I,MATH 2417
HUMA 1301 Exploration of the Humanities,HUMA 1301
LIT 2331 Masterpieces of World Literature,LIT 2331
PHIL 1301 Introduction to Philosophy,PHIL 1301
PHIL 2316 History of Philosophy I,PHIL 2316
PHIL 2317 History of Philosophy II,PHIL 2317
AHST 1303 Survey of Western Art History: Ancient to Medieval,AHST 1303
AHST 1304 Survey of Western Art History: Renaissance to Modern,AHST 1304
AHST 2331 Understanding Art,AHST 2331
ARTS 1301 Exploration of the Arts,ARTS 1301
DANC 1310 Understanding Dance,DANC 1310
THEA 1310 Understanding Theater,THEA 1310
FILM 2332 Understanding Film,FILM 2332
MUSI 1306 Understanding Music,MUSI 1306
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
HIST 2301 History of Texas,HIST 2301
HIST 2330 Themes and Ideas in American History,HIST 2330
HIST 2332 Civil War and Reconstruction,HIST 2332
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
PSY 2314 Lifespan Development,PSY 2314
PSY 2364 Animal Communication,PSY 2364
CGS 2301 Cognitive Science,CGS 2301
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
or STAT 2332 Introductory Statistics for Life Sciences,STAT 2332
NSC 3361 Introduction to Neuroscience,NSC 3361
PSY 3360 Historical Perspectives on Psychology: Mind and Machines since 1600,PSY 3360
PSY 3361 Cognitive Psychology,PSY 3361
or PSY 4359 Cognitive Neuroscience,PSY 4359
PSY 3392 Research Design and Analysis,PSY 3392
PSY 3393 Experimental Projects in Psychology,PSY 3393
PSY 3331 Social Psychology,PSY 3331
PSY 3310 Child Development,PSY 3310
PSY 4343 Abnormal Psychology,PSY 4343
BBSU 3310 Community-Based Service Learning,BBSU 3310
PSY 4394 Internship in Psychology,PSY 4394
PSY 4395 Co-op Fieldwork,PSY 4395
PSY 4V96 Teaching Internship,PSY 4V96
PSY 4397 Thesis Research,PSY 4397
PSY 4V98 Directed Research,PSY 4V98
PSY 4V99 Independent Study,PSY 4V99
PSY 3310 Child Development,PSY 3310
PSY 3331 Social Psychology,PSY 3331
PSY 3360 Historical Perspectives on Psychology: Mind and Machines since 1600,PSY 3360
PSY 3361 Cognitive Psychology,PSY 3361
PSY 3392 Research Design and Analysis,PSY 3392
PSY 3393 Experimental Projects in Psychology,PSY 3393
PSY 4343 Abnormal Psychology,PSY 4343
PSY 4359 Cognitive Neuroscience,PSY 4359
NSC 3361 Introduction to Neuroscience,NSC 3361
PSY 3361 Cognitive Psychology,PSY 3361
PSY 4331 Personality,PSY 4331
PSY 3331 Social Psychology,PSY 3331
PSY 4332 Psychology in the Workplace,PSY 4332
PSY 4370 Industrial and Organizational Psychology,PSY 4370
PSY 4333 Human Relations,PSY 4333
PSY 3392 Research Design and Analysis,PSY 3392
PSY 2314 Lifespan Development,PSY 2314
PSY 3310 Child Development,PSY 3310
PSY 3361 Cognitive Psychology,PSY 3361
PSY 3339 Educational Psychology,PSY 3339
PSY 3362 Cognitive Development,PSY 3362
PSY 3342 Exceptional Children,PSY 3342
PSY 3332 Social and Personality Development,PSY 3332
PSY 3338 Adolescence,PSY 3338
PSY 4373 Psychological Assessment,PSY 4373
PSY 2317 Statistics for Psychology,PSY 2317
PSY 3392 Research Design and Analysis,PSY 3392
PSY 4372 Forensic Psychology,PSY 4372
PSY 2314 Lifespan Development,PSY 2314
PSY 3361 Cognitive Psychology,PSY 3361
PSY 4374 Judgment and Decision-Making,PSY 4374
PSY 4331 Personality,PSY 4331
PSY 3331 Social Psychology,PSY 3331
PSY 4343 Abnormal Psychology,PSY 4343
PSY 4373 Psychological Assessment,PSY 4373
PSY 2317 Statistics for Psychology,PSY 2317
PSY 3392 Research Design and Analysis,PSY 3392
PSY 2314 Lifespan Development,PSY 2314
NSC 3361 Introduction to Neuroscience,NSC 3361
PSY 4328 Health Psychology,PSY 4328
PSY 4343 Abnormal Psychology,PSY 4343
PSY 3361 Cognitive Psychology,PSY 3361
PSY 3338 Adolescence,PSY 3338
PSY 3333 Approaches to Clinical Psychology,PSY 3333
PSY 2317 Statistics for Psychology,PSY 2317
PSY 3392 Research Design and Analysis,PSY 3392
PSY 2314 Lifespan Development,PSY 2314
NSC 3361 Introduction to Neuroscience,NSC 3361
PSY 3361 Cognitive Psychology,PSY 3361
PSY 4331 Personality,PSY 4331
PSY 4343 Abnormal Psychology,PSY 4343
PSY 2317 Statistics for Psychology,PSY 2317
PSY 3392 Research Design and Analysis,PSY 3392
PSY 3333 Approaches to Clinical Psychology,PSY 3333
PSY 3350 Psychology of Communication,PSY 3350
PSY 4333 Human Relations,PSY 4333
PSY 4328 Health Psychology,PSY 4328
PSY 4373 Psychological Assessment,PSY 4373
PSY 4344 Child Psychopathology,PSY 4344
PSY 4345 Violence in the Family,PSY 4345
