Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
ECS 3390 Professional and Technical Communication,ECS 3390
MATH 1306 College Algebra for the Non-Scientist,MATH 1306
MATH 1314 College Algebra,MATH 1314
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"PA 2325 Introduction to Public and Nonprofit Management, ",PA 2325
"EPPS 2301 Research Design in the Social and Policy Sciences, , ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, , ",EPPS 2302
ECON 2301 Principles of Macroeconomics,ECON 2301
or ECON 2302 Principles of Microeconomics,ECON 2302
"EPPS 2301 Research Design in the Social and Policy Sciences, , ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, , ",EPPS 2302
"PA 2325 Introduction to Public and Nonprofit Management, ",PA 2325
PA 3306 Advanced Research and Writing for the Policy Sciences,PA 3306
PA 3310 Managing Government Organizations,PA 3310
PA 3333 Human Resources Management: Leading a Diverse Workforce,PA 3333
PA 3378 Public Finance and Economics,PA 3378
PA 3380 Organizations: Theory and Behavior,PA 3380
PA 4355 Managing Nonprofit Organizations,PA 4355
"PA 4370 Leadership, Democracy, and Ethics",PA 4370
PA 4390 Capstone - Social Entrepreneurship: Leading Change,PA 4390
PA 3314 Financial Management,PA 3314
PA 3379 Diversity in the Public Sector,PA 3379
PA 3382 Sustainable Communities,PA 3382
PA 4345 Negotiation and Conflict Resolution,PA 4345
PA 4351 Managing the Urban Environment,PA 4351
"PA 4350 Public and Nonprofit Agencies, Management and Ethics",PA 4350
PA 4386 Health and Social Policy,PA 4386
PA 3310 or PSCI 3310 Managing Government Organizations,PA 3310
PA 3333 Human Resources Management: Leading a Diverse Workforce,PA 3333
