Full Course Name,Course Code
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"EPPS 2301 Research Design in the Social and Policy Sciences, ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, ",EPPS 2302
"MATH 1325 Applied Calculus I, ",MATH 1325
"or MATH 2413 Differential Calculus, ",MATH 2413
"or MATH 2417 Calculus I, ",MATH 2417
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"EPPS 2301 Research Design in the Social and Policy Sciences, ",EPPS 2301
"EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences, ",EPPS 2302
ECON 2302 Principles of Microeconomics,ECON 2302
ECON 3310 Intermediate Microeconomic Theory,ECON 3310
ECON 3311 Intermediate Macroeconomic Theory,ECON 3311
GEOG 3304 Principles of Geospatial Information Sciences,GEOG 3304
PSCI 3325 American Public Policy,PSCI 3325
PSCI 3322 Constitutional Law,PSCI 3322
PSCI 4343 Congress and Public Policy,PSCI 4343
PSCI 3362 The American Political Institutions,PSCI 3362
PPOL 4300 Capstone in Public Policy,PPOL 4300
PPOL 4398 Internship,PPOL 4398
or PPOL 4V91 Undergraduate Research in Public Policy,PPOL 4V91
CRIM 4311 Crime and Justice Policy,CRIM 4311
ECON 3315 Sports Economics,ECON 3315
ECON 3330 Economics of Health,ECON 3330
ECON 3336 Economics of Education,ECON 3336
ECON 4320 Public Sector Economics,ECON 4320
ECON 4336 Environmental Economic Theory and Policy,ECON 4336
ECON 4332 Energy and Natural Resources Economics,ECON 4332
GEOG 3377 Urban Planning and Policy,GEOG 3377
GISC 4384 Health and Environmental GIS: A Global Perspective,GISC 4384
IPEC 4301 Political Economy of Industrialized Countries,IPEC 4301
"IPEC 4305 Topics in Science, Technology and Institutions",IPEC 4305
IPEC 4309 Urban Development,IPEC 4309
IPEC 4310 Environmental and Health Policy in East Asia,IPEC 4310
IPEC 4384 Health and Environmental Policy: A Global Perspective,IPEC 4384
PSCI 3310 Managing Government Organizations,PSCI 3310
PSCI 3326 Politics and Business,PSCI 3326
PSCI 3323 American Federalism,PSCI 3323
PSCI 4304 Energy and Environmental Politics and Policy,PSCI 4304
PSCI 4305 Political Research,PSCI 4305
PSCI 4307 Predicting Politics,PSCI 4307
PSCI 4370 Policy Making Process,PSCI 4370
SOC 4386 Health and Social Policy,SOC 4386
PPOL 4396 Topics in Public Policy,PPOL 4396
PPOL 4398 Internship,PPOL 4398
PPOL 4V91 Undergraduate Research in Public Policy,PPOL 4V91
PPOL 4V96 Independent Study,PPOL 4V96
PPOL 4V99 Senior Honors in Public Policy,PPOL 4V99
PA 3380 Organizations: Theory and Behavior,PA 3380
PA 4351 Managing the Urban Environment,PA 4351
PA 4355 Managing Nonprofit Organizations,PA 4355
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
ECON 2302 Principles of Microeconomics,ECON 2302
PSCI 3325 American Public Policy,PSCI 3325
IPEC 4301 Political Economy of Industrialized Countries,IPEC 4301
"IPEC 4305 Topics in Science, Technology and Institutions",IPEC 4305
IPEC 4309 Urban Development,IPEC 4309
IPEC 4384 Health and Environmental Policy: A Global Perspective,IPEC 4384
PA 3380 Organizations: Theory and Behavior,PA 3380
PA 4351 Managing the Urban Environment,PA 4351
PA 4355 Managing Nonprofit Organizations,PA 4355
"PPOL 4301 Law, Science, and Policy",PPOL 4301
PPOL 4302 Data and Policy,PPOL 4302
PPOL 4303 The Internet and Public Policy,PPOL 4303
PPOL 4396 Topics in Public Policy,PPOL 4396
PPOL 4398 Internship,PPOL 4398
PSCI 3310 Managing Government Organizations,PSCI 3310
PSCI 3322 Constitutional Law,PSCI 3322
PSCI 3326 Politics and Business,PSCI 3326
PSCI 3362 The American Political Institutions,PSCI 3362
PSCI 4304 Energy and Environmental Politics and Policy,PSCI 4304
PSCI 4305 Political Research,PSCI 4305
PSCI 4307 Predicting Politics,PSCI 4307
PSCI 4343 Congress and Public Policy,PSCI 4343
GOVT 2305 American National Government,GOVT 2305
PSCI 3325 American Public Policy,PSCI 3325
"PPOL 4301 Law, Science, and Policy",PPOL 4301
"or IPEC 4305 Topics in Science, Technology and Institutions",IPEC 4305
"IPEC 4305 Topics in Science, Technology and Institutions",IPEC 4305
IPEC 4384 Health and Environmental Policy: A Global Perspective,IPEC 4384
"PPOL 4301 Law, Science, and Policy",PPOL 4301
PPOL 4302 Data and Policy,PPOL 4302
PPOL 4303 The Internet and Public Policy,PPOL 4303
PPOL 4396 Topics in Public Policy,PPOL 4396
PSCI 4304 Energy and Environmental Politics and Policy,PSCI 4304
PSCI 4356 International Political Economy,PSCI 4356
