Full Course Name,Course Code
RHET 1302 Rhetoric,RHET 1302
ECS 3390 Professional and Technical Communication,ECS 3390
MATH 2413 Differential Calculus,MATH 2413
or MATH 2417 Calculus I,MATH 2417
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
MATH 2417 Calculus I,MATH 2417
MATH 2419 Calculus II,MATH 2419
PHYS 2125 Physics Laboratory I,PHYS 2125
ECS 1100 Introduction to Engineering and Computer Science,ECS 1100
CS 1200 Introduction to Computer Science and Software Engineering,CS 1200
CS 1136 Computer Science Laboratory,CS 1136
CS 1336 Programming Fundamentals,CS 1336
CS 1337 Computer Science I,CS 1337
CS 2305 Discrete Mathematics for Computing I,CS 2305
CS 2336 Computer Science II,CS 2336
MATH 2418 Linear Algebra,MATH 2418
PHYS 2125 Physics Laboratory I,PHYS 2125
PHYS 2126 Physics Laboratory II,PHYS 2126
PHYS 2325 Mechanics,PHYS 2325
PHYS 2326 Electromagnetism and Waves,PHYS 2326
SE 2340 Computer Architecture,SE 2340
MATH 2415 Calculus of Several Variables,MATH 2415
MATH 2420 Differential Equations with Applications,MATH 2420
MATH 2451 Multivariable Calculus with Applications,MATH 2451
MATH 3310 Theoretical Concepts of Calculus,MATH 3310
MATH 3311 Abstract Algebra I,MATH 3311
MATH 3321 Geometry,MATH 3321
MATH 3323 Elementary Number Theory,MATH 3323
MATH 3351 Advanced Calculus,MATH 3351
MATH 3397 Mathematical Problem Solving,MATH 3397
MATH 4332 Scientific Math Computing,MATH 4332
MATH 4334 Numerical Analysis,MATH 4334
MATH 4381 Structure of Modern Geometry,MATH 4381
STAT 3355 Data Analysis for Statisticians and Actuaries,STAT 3355
SE 3162 Professional Responsibility in Computer Science and Software Engineering,SE 3162
SE 3306 Mathematical Foundations of Software Engineering,SE 3306
SE 3341 Probability and Statistics in Computer Science and Software Engineering,SE 3341
SE 3345 Data Structures and Introduction to Algorithmic Analysis,SE 3345
SE 3354 Software Engineering,SE 3354
SE 3377 Systems Programming in UNIX and Other Environments,SE 3377
ECS 3390 Professional and Technical Communication,ECS 3390
SE 4347 Database Systems,SE 4347
SE 4348 Operating Systems Concepts,SE 4348
SE 4351 Requirements Engineering,SE 4351
SE 4352 Software Architecture and Design,SE 4352
"SE 4367 Software Testing, Verification, Validation and Quality Assurance",SE 4367
SE 4381 Software Project Planning and Management,SE 4381
SE 4485 Software Engineering Project,SE 4485
CS 4141 Digital Systems Laboratory,CS 4141
CS 4314 Intelligent Systems Analysis,CS 4314
CS 4315 Intelligent Systems Design,CS 4315
CS 4334 Numerical Analysis,CS 4334
CS 4337 Programming Language Paradigms,CS 4337
CS 4341 Digital Logic and Computer Design,CS 4341
CS 4349 Advanced Algorithm Design and Analysis,CS 4349
CS 4352 Human-Computer Interaction I,CS 4352
CS 4353 Human-Computer Interaction II,CS 4353
CS 4361 Computer Graphics,CS 4361
CS 4365 Artificial Intelligence,CS 4365
CS 4375 Introduction to Machine Learning,CS 4375
CS 4384 Automata Theory,CS 4384
CS 4386 Compiler Design,CS 4386
CS 4389 Data and Applications Security,CS 4389
CS 4390 Computer Networks,CS 4390
CS 4391 Introduction to Computer Vision,CS 4391
CS 4392 Computer Animation,CS 4392
CS 4393 Computer and Network Security,CS 4393
CS 4394 Implementation of Modern Operating Systems,CS 4394
CS 4395 Human Language Technologies,CS 4395
CS 4396 Networking Laboratory,CS 4396
CS 4397 Embedded Computer Systems,CS 4397
CS 4398 Digital Forensics,CS 4398
CS 4485 Computer Science Project,CS 4485
EE 4325 Introduction to VLSI Design,EE 4325
SE 4376 Object-Oriented Design,SE 4376
SE 4399 Senior Honors in Software Engineering,SE 4399
CS 1337 Computer Science I,CS 1337
CS 2305 Discrete Mathematics for Computing I,CS 2305
CS 2336 Computer Science II,CS 2336
SE 3306 Mathematical Foundations of Software Engineering,SE 3306
SE 3345 Data Structures and Introduction to Algorithmic Analysis,SE 3345
SE 3354 Software Engineering,SE 3354
CS 4389 Data and Applications Security,CS 4389
CS 4393 Computer and Network Security,CS 4393
CS 4398 Digital Forensics,CS 4398
