Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
COMM 1315 Public Speaking,COMM 1315
RHET 1302 Rhetoric,RHET 1302
PSY 2301 Introduction to Psychology,PSY 2301
PSY 2317 Statistics for Psychology,PSY 2317
or STAT 1342 Statistical Decision Making,STAT 1342
PSY 2314 Lifespan Development,PSY 2314
PSY 2301 Introduction to Psychology,PSY 2301
SPAU 3301 Communication Disorders,SPAU 3301
SPAU 3303 Normal Language Development,SPAU 3303
SPAU 3304 Communication Sciences,SPAU 3304
SPAU 3340 Articulation Disorders,SPAU 3340
SPAU 3341 Audiology,SPAU 3341
SPAU 3343 Phonetics and Phonology,SPAU 3343
SPAU 3344 Anatomy and Physiology of Speech and Hearing,SPAU 3344
SPAU 3345 Neural Basis of Communication,SPAU 3345
or NSC 3361 Introduction to Neuroscience,NSC 3361
SPAU 3388 Clinical Observation in Speech-Language Pathology,SPAU 3388
SPAU 4308 Language Disorders in Children,SPAU 4308
SPAU 4394 Multicultural Aspects of Communication Disorders,SPAU 4394
or SPAU 4393 Language in Culture and Society,SPAU 4393
SPAU 3301 Communication Disorders,SPAU 3301
SPAU 3303 Normal Language Development,SPAU 3303
SPAU 3343 Phonetics and Phonology,SPAU 3343
SPAU 3344 Anatomy and Physiology of Speech and Hearing,SPAU 3344
SPAU 3304 Communication Sciences,SPAU 3304
SPAU 3340 Articulation Disorders,SPAU 3340
SPAU 3341 Audiology,SPAU 3341
SPAU 3345 Neural Basis of Communication,SPAU 3345
SPAU 4308 Language Disorders in Children,SPAU 4308
SPAU 4393 Language in Culture and Society,SPAU 4393
SPAU 4395 Issues in the Management of Persons with Hearing Impairment,SPAU 4395
