Full Course Name,Course Code
"MATH 1325 Applied Calculus I, , , ",MATH 1325
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
"MATH 1326 Applied Calculus II, , ",MATH 1326
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
ACCT 2301 Introductory Financial Accounting,ACCT 2301
ACCT 2302 Introductory Management Accounting,ACCT 2302
BLAW 2301 Business and Public Law,BLAW 2301
"MATH 1325 Applied Calculus I, , , ",MATH 1325
"MATH 1326 Applied Calculus II, , ",MATH 1326
or OPRE 3340 Advanced Business Quantitative Methods,OPRE 3340
OPRE 3333 Quantitative Business Analysis,OPRE 3333
"or MATH 2333 Matrices, Vectors, and Their Application, ",MATH 2333
OPRE 3360 Managerial Methods in Decision Making Under Uncertainty,OPRE 3360
or STAT 3360 Probability and Statistics for Management and Economics,STAT 3360
"BA 1310 Making Choices in Free Market Systems, ",BA 1310
"BA 1320 Business in a Global World, ",BA 1320
"ECON 2301 Principles of Macroeconomics, ",ECON 2301
"ECON 2302 Principles of Microeconomics, ",ECON 2302
BCOM 1300 Introduction to Professionalism and Communication in Business,BCOM 1300
or BCOM 3300 Professionalism and Communication in Business,BCOM 3300
BCOM 4300 Managing Communications in Business,BCOM 4300
IMS 3310 International Business,IMS 3310
FIN 3320 Business Finance,FIN 3320
ITSS 3300 Information Technology for Business,ITSS 3300
OPRE 3310 Operations Management,OPRE 3310
OBHR 3330 Introduction to Human Resource Management,OBHR 3330
or OBHR 3310 Organizational Behavior,OBHR 3310
MKT 3300 Principles of Marketing,MKT 3300
OPRE 4395 Capstone Senior Project - Supply Chain Management,OPRE 4395
or BPS 4395 Capstone Senior Project - Business,BPS 4395
or ENTP 4395 Capstone Senior Project - Entrepreneurship,ENTP 4395
OPRE 3320 Integrated Supply Chain Management,OPRE 3320
OPRE 3330 Project Management,OPRE 3330
OPRE 4310 Lean and Six Sigma Processes,OPRE 4310
OPRE 4320 Integrated SCM Information Systems,OPRE 4320
OPRE 4330 Global Logistics and Inventory Management,OPRE 4330
OPRE 4340 Purchasing and Sourcing Management,OPRE 4340
OPRE 4362 Supply Chain Strategy,OPRE 4362
OPRE 4V90 Supply Chain Management Internship,OPRE 4V90
OPRE 4090 Supply Chain Management Internship,OPRE 4090
BA 4090 Management Internship,BA 4090
IMS 4335 Social Sector Entrepreneurship and Community Engagement,IMS 4335
or ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
or MKT 4360 Social Impact Marketing,MKT 4360
or BA 4095 Social Sector Engagement and Community Outreach Practicum,BA 4095
OPRE 4350 Spreadsheet Modeling and Analytics,OPRE 4350
OPRE 4357 Supply Chain Analytics,OPRE 4357
ITSS 4340 Enterprise Resource Planning,ITSS 4340
MKT 4330 Digital and Internet Marketing,MKT 4330
MKT 3330 Introduction to Professional Selling,MKT 3330
OBHR 4352 Negotiation and Dispute Resolution,OBHR 4352
MKT 3320 Product and Brand Management,MKT 3320
OPRE 4355 Operations Management in the Healthcare Sector,OPRE 4355
OPRE 4345 Retail Operations,OPRE 4345
IMS 4310 Export Market Development,IMS 4310
BPS 4305 Strategic Management,BPS 4305
OPRE 4362 Supply Chain Strategy,OPRE 4362
