Full Course Name,Course Code
CRIM 7307 Measures and Correlates of Crime,CRIM 7307
CRIM 7300 Advances in Criminology Theory,CRIM 7300
CRIM 7301 Seminar in Criminology Research and Analysis,CRIM 7301
CRIM 7305 Professional Development in Criminology,CRIM 7305
CRIM 7315 Evidence-based Crime Prevention,CRIM 7315
CRIM 6301 Research Design I,CRIM 6301
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
EPPS 6346 Qualitative Research Orientation,EPPS 6346
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
EPPS 7318 Structural Equation and Multilevel (Hierarchical) Modeling,EPPS 7318
EPPS 7344 Categorical and Limited Dependent Variables,EPPS 7344
EPPS 7368 Spatial Epidemiology,EPPS 7368
EPPS 7370 Time Series Analysis I,EPPS 7370
EPPS 7386 Survey Research,EPPS 7386
EPPS 7390 Bayesian Analysis for Social and Behavioral Sciences,EPPS 7390
CRIM 6300 Proseminar in Criminology,CRIM 6300
CRIM 6301 Research Design I,CRIM 6301
CRIM 6303 Etiology of Crime and Criminality,CRIM 6303
CRIM 6311 Crime and Justice Policy,CRIM 6311
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
CRIM 6311 Crime and Justice Policy,CRIM 6311
CRIM 6390 Administration of Justice Agencies,CRIM 6390
CRIM 6395 Contemporary Issues in Justice Administration,CRIM 6395
PA 6316 Leadership in Public and Nonprofit Management,PA 6316
PA 6345 Human Resources Management,PA 6345
PA 6351 (CRIM 6351) Introduction to Homeland Security,PA 6351
CRIM 6312 Legal Aspects of Justice Administration,CRIM 6312
PA 6319 Topics in Public Affairs [when topic is Negotiation and Dispute Resolutions],PA 6319
CRIM 6399 Capstone in Justice Administration,CRIM 6399
