Full Course Name,Course Code
ECON 6301 Microeconomics Theory I,ECON 6301
ECON 7301 Microeconomics Theory II,ECON 7301
ECON 6302 Macroeconomics Theory I,ECON 6302
ECON 7302 Macroeconomics Theory II,ECON 7302
ECON 6305 Mathematical Economics,ECON 6305
ECON 6309 Econometrics I,ECON 6309
ECON 7309 Econometrics II,ECON 7309
ECON 5321 Microeconomic Theory for Applications,ECON 5321
ECON 5322 Macroeconomic Theory for Applications,ECON 5322
ECON 6305 Mathematical Economics,ECON 6305
ECON 6306 Applied Econometrics,ECON 6306
ECON 5322 Macroeconomic Theory for Applications,ECON 5322
ECON 5303 Forecasting for Economics and Business,ECON 5303
ECON 6305 Mathematical Economics,ECON 6305
ECON 6306 Applied Econometrics,ECON 6306
ECON 6357 Monetary Economics and International Banking,ECON 6357
