Full Course Name,Course Code
GISC 6381 (GEOS 6381) Geographic Information Systems Fundamentals,GISC 6381
GISC 6325 (GEOS 5325) Remote Sensing Fundamentals,GISC 6325
GISC 6384 (GEOS 6384) Advanced Geographic Information Systems,GISC 6384
"GISC 6385 (GEOS 6385) GIS Theories, Models and Issues",GISC 6385
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 5322 (GEOS 5322) GPS (Global Positioning System) Satellite Surveying Techniques,GISC 5322
GISC 5324 (GEOS 5324) 3D Data Capture and Ground Lidar,GISC 5324
GISC 5330 Geospatial Applications in Earth Science,GISC 5330
GISC 5395 Satellite Geophysics and Applications,GISC 5395
GISC 6311 Statistics for Geospatial Science,GISC 6311
GISC 6317 Social and Geospatial Science Programming Fundamentals,GISC 6317
GISC 6321 Spatial Data Science,GISC 6321
GISC 6323 Machine Learning for Socio-Economic and Geo-Referenced Data,GISC 6323
GISC 6331 (CRIM 6332) GIS Applications in Criminology,GISC 6331
GISC 6334 (PPPE 6334) Workshop in Environmental and Health GIS/Policy,GISC 6334
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6375 Spatial Optimization,GISC 6375
GISC 6379 Special Topics in Geographic Information Sciences,GISC 6379
GISC 6382 (GEOS 6383) Applied Geographic Information Systems,GISC 6382
GISC 6388 Advanced GIS Programming,GISC 6388
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
or ECON 6316 Spatial Econometrics,ECON 6316
GISC 7364 Demographic and Epidemiological Analysis and Modeling,GISC 7364
GISC 7365 (GEOS 5326) Advanced Remote Sensing,GISC 7365
GISC 7366 (GEOS 5329) Applied Remote Sensing,GISC 7366
GEOS 5306 Data Analysis for Geoscientists,GEOS 5306
CS 5303 Computer Science I,CS 5303
CS 5333 Discrete Structures,CS 5333
CS 5343 Algorithm Analysis and Data Structures,CS 5343
CS 6359 Object-Oriented Analysis and Design,CS 6359
CS 6360 Database Design,CS 6360
CS 6364 Artificial Intelligence,CS 6364
CS 6366 Computer Graphics,CS 6366
CS 6375 Machine Learning,CS 6375
CS 6384 Computer Vision,CS 6384
EESC 6360 Digital Signal Processing I,EESC 6360
EESC 6363 Digital Image Processing,EESC 6363
MIS 6320 Database Foundations,MIS 6320
MIS 6324 Business Analytics With SAS,MIS 6324
MIS 6360 Agile Project Management,MIS 6360
PHYS 5315 Scientific Computing,PHYS 5315
PHYS 5336 Big Data and Machine Learning for Scientific Discovery,PHYS 5336
ECON 6309 Econometrics I,ECON 6309
ECON 7309 Econometrics II,ECON 7309
EPPS 6323 Knowledge Mining,EPPS 6323
EPPS 6324 Data Management for Social Science Research,EPPS 6324
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 6354 Information Management,EPPS 6354
EPPS 6356 Data Visualization,EPPS 6356
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
EPPS 7318 Structural Equation and Multilevel (Hierarchical) Modeling,EPPS 7318
EPPS 7370 Time Series Analysis I,EPPS 7370
EPPS 7390 Bayesian Analysis for Social and Behavioral Sciences,EPPS 7390
GISC 7387 GIS Research Design (before proposal defense),GISC 7387
GISC 6387 Geospatial Sciences Workshop,GISC 6387
GISC 6389 Geospatial Information Sciences Master's Research,GISC 6389
GISC 6V01 Independent Study in GIS,GISC 6V01
GISC 8320 Geospatial Sciences Seminar,GISC 8320
GISC 8V29 Research in GIS,GISC 8V29
GISC 6325 Remote Sensing Fundamentals,GISC 6325
GISC 6384 Advanced Geographic Information Systems,GISC 6384
"GISC 6385 GIS Theories, Models and Issues",GISC 6385
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 6301 GIS Data Analysis Fundamentals,GISC 6301
GISC 6317 Social and Geospatial Science Programming Fundamentals,GISC 6317
GISC 6325 Remote Sensing Fundamentals,GISC 6325
GISC 6381 Geographic Information Systems Fundamentals,GISC 6381
GISC 6384 Advanced Geographic Information Systems,GISC 6384
CS 6359 Object-Oriented Analysis and Design,CS 6359
CS 6360 Database Design,CS 6360
CS 6366 Computer Graphics,CS 6366
CS 6384 Computer Vision,CS 6384
GISC 5310 Hydrogeology,GISC 5310
GISC 5311 Applied Groundwater Modeling,GISC 5311
GISC 5322 GPS (Global Positioning System) Satellite Surveying Techniques,GISC 5322
GISC 5324 3D Data Capture and Ground Lidar,GISC 5324
GISC 5330 Geospatial Applications in Earth Science,GISC 5330
GISC 5395 Satellite Geophysics and Applications,GISC 5395
GISC 6321 Spatial Data Science,GISC 6321
GISC 6323 Machine Learning for Socio-Economic and Geo-Referenced Data,GISC 6323
GISC 6331 (CRIM 6332) GIS Applications in Criminology,GISC 6331
GISC 6334 (PPPE 6334) Workshop in Environmental and Health GIS/Policy,GISC 6334
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6375 Spatial Optimization,GISC 6375
GISC 6379 Special Topics in Geographic Information Sciences,GISC 6379
GISC 6382 Applied Geographic Information Systems,GISC 6382
"GISC 6385 GIS Theories, Models and Issues",GISC 6385
GISC 6387 Geospatial Sciences Workshop,GISC 6387
GISC 6388 Advanced GIS Programming,GISC 6388
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
GISC 7364 Demographic and Epidemiological Analysis and Modeling,GISC 7364
GISC 7365 Advanced Remote Sensing,GISC 7365
GISC 8320 Geospatial Sciences Seminar,GISC 8320
EPPS 6323 Knowledge Mining,EPPS 6323
EPPS 6324 Data Management for Social Science Research,EPPS 6324
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 6354 Information Management,EPPS 6354
EPPS 6356 Data Visualization,EPPS 6356
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
MIS 6308 System Analysis and Project Management,MIS 6308
MIS 6320 Database Foundations,MIS 6320
MIS 6324 Business Analytics With SAS,MIS 6324
PA 6318 Information Systems in Policy Environments,PA 6318
GISC 6389 Geospatial Information Sciences Master's Research,GISC 6389
GISC 6V98 Master's Thesis,GISC 6V98
GISC 6381 (GEOS 6381) Geographic Information Systems Fundamentals,GISC 6381
GISC 6384 (GEOS 6384) Advanced Geographic Information Systems,GISC 6384
GISC 5322 (GEOS 5322) GPS (Global Positioning System) Satellite Surveying Techniques,GISC 5322
GISC 5324 (GEOS 5324) 3D Data Capture and Ground Lidar,GISC 5324
GISC 6301 GIS Data Analysis Fundamentals,GISC 6301
GISC 6317 Social and Geospatial Science Programming Fundamentals,GISC 6317
GISC 6321 Spatial Data Science,GISC 6321
GISC 6323 Machine Learning for Socio-Economic and Geo-Referenced Data,GISC 6323
GISC 6325 (GEOS 5325) Remote Sensing Fundamentals,GISC 6325
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6375 Spatial Optimization,GISC 6375
GISC 6379 Special Topics in Geographic Information Sciences,GISC 6379
"GISC 6385 (GEOS 6385) GIS Theories, Models and Issues",GISC 6385
GISC 6388 Advanced GIS Programming,GISC 6388
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
GISC 7365 (GEOS 5326) Advanced Remote Sensing,GISC 7365
GISC 6387 (GEOS 6387) Geospatial Sciences Workshop,GISC 6387
GISC 6301 GIS Data Analysis Fundamentals,GISC 6301
GISC 6325 (GEOS 5325) Remote Sensing Fundamentals,GISC 6325
GISC 6381 (GEOS 6381) Geographic Information Systems Fundamentals,GISC 6381
GISC 5322 (GEOS 5322) GPS (Global Positioning System) Satellite Surveying Techniques,GISC 5322
GISC 5324 (GEOS 5324) 3D Data Capture and Ground Lidar,GISC 5324
GISC 6317 Social and Geospatial Science Programming Fundamentals,GISC 6317
GISC 6321 Spatial Data Science,GISC 6321
GISC 6323 Machine Learning for Socio-Economic and Geo-Referenced Data,GISC 6323
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6375 Spatial Optimization,GISC 6375
GISC 6379 Special Topics in Geographic Information Sciences,GISC 6379
GISC 6384 (GEOS 6384) Advanced Geographic Information Systems,GISC 6384
"GISC 6385 (GEOS 6385) GIS Theories, Models and Issues",GISC 6385
GISC 6388 Advanced GIS Programming,GISC 6388
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
GISC 7365 (GEOS 5326) Advanced Remote Sensing,GISC 7365
GISC 7366 (GEOS 5329) Applied Remote Sensing,GISC 7366
GISC 7387 GIS Research Design,GISC 7387
MIS 6320 Database Foundations,MIS 6320
MIS 6324 Business Analytics With SAS,MIS 6324
MIS 6360 Agile Project Management,MIS 6360
GISC 6387 (GEOS 6387) Geospatial Sciences Workshop,GISC 6387
GISC 6325 (GEOS 5325) Remote Sensing Fundamentals,GISC 6325
GISC 7365 (GEOS 5326) Advanced Remote Sensing,GISC 7365
GISC 5322 (GEOS 5322) GPS (Global Positioning System) Satellite Surveying Techniques,GISC 5322
GISC 5324 (GEOS 5324) 3D Data Capture and Ground Lidar,GISC 5324
GISC 6301 GIS Data Analysis Fundamentals,GISC 6301
GISC 6317 Social and Geospatial Science Programming Fundamentals,GISC 6317
GISC 6321 Spatial Data Science,GISC 6321
GISC 6323 Machine Learning for Socio-Economic and Geo-Referenced Data,GISC 6323
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6375 Spatial Optimization,GISC 6375
GISC 6379 Special Topics in Geographic Information Sciences,GISC 6379
GISC 6381 (GEOS 6381) Geographic Information Systems Fundamentals,GISC 6381
GISC 6384 (GEOS 6384) Advanced Geographic Information Systems,GISC 6384
"GISC 6385 (GEOS 6385) GIS Theories, Models and Issues",GISC 6385
GISC 6388 Advanced GIS Programming,GISC 6388
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
GISC 7387 GIS Research Design,GISC 7387
GISC 6387 (GEOS 6387) Geospatial Sciences Workshop,GISC 6387
