Full Course Name,Course Code
BPS 7300 Advanced Strategic Management Seminar I,BPS 7300
BPS 7301 Advanced Strategic Management Seminar II,BPS 7301
BPS 7303 Doctoral Teaching and Writing Seminar,BPS 7303
ENTP 7300 Foundations of Entrepreneurship,ENTP 7300
"ENTP 7301 Technology, Innovation and Entrepreneurship",ENTP 7301
IMS 7301 International Business,IMS 7301
OB 7300 Organization Theory,OB 7300
OB 7302 Organization Behavior,OB 7302
OB 7310 Group and Intergroup Processes,OB 7310
OB 7312 Social Network Theory,OB 7312
OB 7313 Organizational Decision Making,OB 7313
MAS 8V00 Special Topics in Management Science [Teaching Practicum],MAS 8V00
BPS 7302 Research Methodology,BPS 7302
ECON 6306 Applied Econometrics,ECON 6306
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
OB 7306 Macro-Organizational Empirical Investigation,OB 7306
BPS 7303 Doctoral Teaching and Writing Seminar,BPS 7303
MAS 8V00 Special Topics in Management Science [Teaching Practicum],MAS 8V00
MECO 6345 Advanced Managerial Economics,MECO 6345
MECO 6350 Game Theory,MECO 6350
MECO 7312 Advanced Statistics and Probability (or a similar course such as STAT 5352),MECO 7312
OPRE 7353 Optimization,OPRE 7353
MECO 6320 Econometrics (or ECON 6309 Econometrics I),MECO 6320
MECO 6360 Topics in Industrial Organization,MECO 6360
MECO 7311 Advanced Game Theory,MECO 7311
MECO 7313 Applied Econometrics,MECO 7313
MECO 7320 Advanced Econometrics (or ECON 7309 Econometrics II),MECO 7320
OPRE 7310 Probability and Stochastic Processes,OPRE 7310
OPRE 7311 Stochastic Models in Operations Research,OPRE 7311
OPRE 7320 Optimal Control Theory and Applications,OPRE 7320
OPRE 7330 Deterministic Models in Operations Research,OPRE 7330
OPRE 7343 Modern Machine Learning Methods,OPRE 7343
