Full Course Name,Course Code
"PSCI 6350 Logic, Methodology, and Scope of Political Science",PSCI 6350
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
PSCI 6321 Proseminar in Comparative Politics,PSCI 6321
PSCI 6319 Proseminar in International Relations,PSCI 6319
PSCI 6311 Proseminar in Law and Courts,PSCI 6311
PSCI 6347 Proseminar in Political Institutions and American Politics,PSCI 6347
PPPE 6319 Political Economy of MNCs,PPPE 6319
PSCI 6305 Workshop in Constitutional Law Studies,PSCI 6305
PSCI 6306 Human Rights and International Law,PSCI 6306
PSCI 6335 Institutions and Development,PSCI 6335
PSCI 6337 Comparative Institutions,PSCI 6337
PSCI 6342 Comparative Courts and Law,PSCI 6342
PSCI 6352 Empirical Democratic Theory,PSCI 6352
PSCI 6361 Civil Conflict,PSCI 6361
PSCI 6362 Political Development,PSCI 6362
PSCI 6363 Conflict and Development,PSCI 6363
PSCI 6365 U.S. and International Asylum and Refugee Law,PSCI 6365
PSCI 6374 U.S. Global Security and Public Opinion,PSCI 6374
PSCI 7313 Counterterrorism and Counterinsurgency,PSCI 7313
PSCI 7318 Conflict Management,PSCI 7318
PSCI 7350 Institutions and Citizen Behavior,PSCI 7350
PPPE 6319 Political Economy of MNCs,PPPE 6319
PSCI 6306 Human Rights and International Law,PSCI 6306
PSCI 6309 International Political Economy,PSCI 6309
PSCI 6316 International Organizations,PSCI 6316
PSCI 6358 Refugee and Migration Policy,PSCI 6358
PSCI 6361 Civil Conflict,PSCI 6361
PSCI 6365 U.S. and International Asylum and Refugee Law,PSCI 6365
PSCI 6374 U.S. Global Security and Public Opinion,PSCI 6374
PSCI 7313 Counterterrorism and Counterinsurgency,PSCI 7313
PSCI 7318 Conflict Management,PSCI 7318
PSCI 7330 International Conflict,PSCI 7330
PSCI 7335 Theories of International Relations,PSCI 7335
PSCI 6301 Constitutional Law,PSCI 6301
PSCI 6323 Public Choice,PSCI 6323
PSCI 6324 Local and State Government and Politics,PSCI 6324
PSCI 6330 Campaigns and Elections,PSCI 6330
"PSCI 6331 Executives, Legislatures and Public Policy",PSCI 6331
PSCI 6333 Political and Civic Organizations,PSCI 6333
PSCI 6337 Comparative Institutions,PSCI 6337
PSCI 6339 Election Law and Electoral Systems,PSCI 6339
PSCI 6343 Law and the Policy Process,PSCI 6343
PSCI 6352 Empirical Democratic Theory,PSCI 6352
PSCI 7350 Institutions and Citizen Behavior,PSCI 7350
PSCI 6301 Constitutional Law,PSCI 6301
PSCI 6305 Workshop in Constitutional Law Studies,PSCI 6305
PSCI 6306 Human Rights and International Law,PSCI 6306
PSCI 6339 Election Law and Electoral Systems,PSCI 6339
PSCI 6342 Comparative Courts and Law,PSCI 6342
PSCI 6343 Law and the Policy Process,PSCI 6343
PSCI 6365 U.S. and International Asylum and Refugee Law,PSCI 6365
PPPE 6366 Law and Development,PPPE 6366
