Full Course Name,Course Code
HCS 6302 Issues in Behavioral and Brain Sciences,HCS 6302
HCS 6312 Research Methods in Behavioral and Brain Sciences - Part I,HCS 6312
HCS 6313 Research Methods in Behavioral and Brain Sciences - Part II,HCS 6313
HCS 6330 Cognitive Science,HCS 6330
HCS 6395 Cognitive Psychology,HCS 6395
HCS 6338 Functional Neuroanatomy,HCS 6338
HCS 6346 Systems Neuroscience,HCS 6346
HCS 6302 Issues in Behavioral and Brain Sciences,HCS 6302
HCS 6342 Research Methods and Professional Development in Neuroscience,HCS 6342
HCS 6315 Scientific and Grant Writing,HCS 6315
HCS 6340 Cellular Neuroscience,HCS 6340
HCS 6346 Systems Neuroscience,HCS 6346
HCS 7343 Neuropharmacology,HCS 7343
HCS 6330 Cognitive Science,HCS 6330
HCS 6395 Cognitive Psychology,HCS 6395
HCS 6302 Issues in Behavioral and Brain Sciences,HCS 6302
HCS 6312 Research Methods in Behavioral and Brain Sciences - Part I,HCS 6312
HCS 6313 Research Methods in Behavioral and Brain Sciences - Part II,HCS 6313
HCS 7324 Seminar in Language Science,HCS 7324
HCS 7325 Seminar in Speech Science,HCS 7325
HCS 7326 Seminar in Hearing Science,HCS 7326
HCS 6302 Issues in Behavioral and Brain Sciences,HCS 6302
HCS 6312 Research Methods in Behavioral and Brain Sciences - Part I,HCS 6312
HCS 6313 Research Methods in Behavioral and Brain Sciences - Part II,HCS 6313
HCS 6317 Research Methods in Psychology,HCS 6317
HCS 6331 Cognitive Development,HCS 6331
HCS 6350 Social Development,HCS 6350
HCS 6368 Language Development,HCS 6368
HCS 6330 Cognitive Science,HCS 6330
HCS 6333 Memory,HCS 6333
HCS 6395 Cognitive Psychology,HCS 6395
HCS 6327 Personality,HCS 6327
HCS 6376 Social Psychology,HCS 6376
HCS 6338 Functional Neuroanatomy,HCS 6338
HCS 6346 Systems Neuroscience,HCS 6346
