Full Course Name,Course Code
PPPE 6347 Proseminar in Political Institutions and American Politics,PPPE 6347
"PPPE 6329 Ethics, Culture, and Public Policy",PPPE 6329
PPPE 6301 Political-Economic Theories,PPPE 6301
PPPE 6321 Economics for Public Policy,PPPE 6321
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
PPPE 6342 Research Design II,PPPE 6342
PPPE 6354 Theories and Issues of Development,PPPE 6354
PPPE 6335 Institutions and Development,PPPE 6335
PPPE 6343 Global Health Policy,PPPE 6343
PPPE 6362 Political Development,PPPE 6362
PPPE 6363 Conflict and Development,PPPE 6363
PPPE 6367 Environmental Economics and Policy,PPPE 6367
PPPE 6370 Political Economy of Natural Resources,PPPE 6370
PPPE 6371 Urban Development,PPPE 6371
"PPPE 6372 Faith, Ideology, and Development",PPPE 6372
PPPE 6392 Practice of International Development,PPPE 6392
PPPE 6359 Political Economy of Economic Development,PPPE 6359
PPPE 6358 Political Economy of South and Southeast Asia,PPPE 6358
PPPE 6361 Civil Conflict,PPPE 6361
PPPE 6369 National and International Security Strategies and Policies,PPPE 6369
PPPE 6363 Conflict and Development,PPPE 6363
PSCI 6321 Proseminar in Comparative Politics,PSCI 6321
PSCI 6319 Proseminar in International Relations,PSCI 6319
PSCI 6306 Human Rights and International Law,PSCI 6306
PSCI 7318 Conflict Management,PSCI 7318
PSCI 7330 International Conflict,PSCI 7330
PSCI 7335 Theories of International Relations,PSCI 7335
PPPE 7313 Counterterrorism and Counterinsurgency,PPPE 7313
PSCI 6309 International Political Economy,PSCI 6309
PPPE 6319 Political Economy of MNCs,PPPE 6319
PPPE 6368 Political Economy of Finance,PPPE 6368
PPPE 6370 Political Economy of Natural Resources,PPPE 6370
PSCI 6316 International Organizations,PSCI 6316
PPPE 6313 Human Organizations and Social Theory,PPPE 6313
PPPE 6334 Workshop in Environmental and Health GIS/Policy,PPPE 6334
PPPE 6340 Domestic Social Policy,PPPE 6340
PPPE 6341 Health Policy,PPPE 6341
PPPE 6343 Global Health Policy,PPPE 6343
PPPE 6350 Social Stratification,PPPE 6350
PPPE 6356 Health and Illness,PPPE 6356
PPPE 6359 Political Economy of Economic Development,PPPE 6359
PPPE 6365 The Innovation Economy,PPPE 6365
"PPPE 6353 Industry, Technology, and Science Policy",PPPE 6353
PPPE 6368 Political Economy of Finance,PPPE 6368
"PPPE 6373 Issues in Science, Technology and Society",PPPE 6373
CS 6303 Cyber Security Essentials for Practitioners,CS 6303
CS 6305 Data Security and Privacy for Practitioners,CS 6305
CS 6306 Cyber Security Analytics & Malware Analysis for Practitioners,CS 6306
CS 6308 Cyber Physical Systems and Critical Infrastructure Security for Practitioners,CS 6308
MIS 6330 Cybersecurity Fundamentals,MIS 6330
MIS 6333 Digital Forensics and Incident Management,MIS 6333
PPPE 6302 Political Violence and Conflict in Cyberspace,PPPE 6302
or PSCI 6302 Political Violence and Conflict in Cyberspace,PSCI 6302
PPPE 6303 Cyber Security Policy,PPPE 6303
or PSCI 6303 Cyber Security Policy,PSCI 6303
PPPE 6308 Governance and Auditing Essentials for Cyber Security,PPPE 6308
or PSCI 6308 Governance and Auditing Essentials for Cyber Security,PSCI 6308
PPPE 6315 Legal Aspects of Cyber Security and Cyber Security Ethics,PPPE 6315
or PSCI 6315 Legal Aspects of Cyber Security and Cyber Security Ethics,PSCI 6315
PPPE 6328 Capstone in Cyber Security and Policy,PPPE 6328
or PSCI 6328 Capstone in Cyber Security and Policy,PSCI 6328
PSYC 6352 Cognitive Psychology Essentials for Cyber Security,PSYC 6352
PPPE 6301 Political-Economic Theories,PPPE 6301
PPPE 6321 Economics for Public Policy,PPPE 6321
PPPE 6365 The Innovation Economy,PPPE 6365
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
PPPE 6352 World Political Economy,PPPE 6352
PSCI 6309 International Political Economy,PSCI 6309
PPPE 6319 Political Economy of MNCs,PPPE 6319
PPPE 6335 Institutions and Development,PPPE 6335
PPPE 6362 Political Development,PPPE 6362
PPPE 6368 Political Economy of Finance,PPPE 6368
PSCI 6309 International Political Economy,PSCI 6309
PSCI 6316 International Organizations,PSCI 6316
PPPE 6370 Political Economy of Natural Resources,PPPE 6370
PPPE 7V76 Policy Research Workshop in Development Studies,PPPE 7V76
PPPE 6310 Research Design I,PPPE 6310
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
PPPE 6354 Theories and Issues of Development,PPPE 6354
PPPE 6334 or GISC 6334 Workshop in Environmental and Health GIS/Policy,PPPE 6334
PPPE 6335 Institutions and Development,PPPE 6335
PPPE 6343 Global Health Policy,PPPE 6343
PPPE 6352 World Political Economy,PPPE 6352
PPPE 6359 Political Economy of Economic Development,PPPE 6359
PPPE 6362 Political Development,PPPE 6362
PPPE 6363 Conflict and Development,PPPE 6363
PPPE 6367 Environmental Economics and Policy,PPPE 6367
PPPE 6370 Political Economy of Natural Resources,PPPE 6370
PPPE 6371 Urban Development,PPPE 6371
"PPPE 6372 Faith, Ideology, and Development",PPPE 6372
PPPE 6392 Practice of International Development,PPPE 6392
PPPE 6361 Civil Conflict,PPPE 6361
PPPE 6369 National and International Security Strategies and Policies,PPPE 6369
PPPE 6363 Conflict and Development,PPPE 6363
PSCI 6300 Proseminar in Comparative Politics and International Relations,PSCI 6300
PSCI 6306 Human Rights and International Law,PSCI 6306
PSCI 7318 Conflict Management,PSCI 7318
PSCI 7330 International Conflict,PSCI 7330
PSCI 7335 Theories of International Relations,PSCI 7335
PPPE 7313 Counterterrorism and Counterinsurgency,PPPE 7313
PSCI 6309 International Political Economy,PSCI 6309
PPPE 6319 Political Economy of MNCs,PPPE 6319
PPPE 6352 World Political Economy,PPPE 6352
PPPE 6368 Political Economy of Finance,PPPE 6368
PPPE 6370 Political Economy of Natural Resources,PPPE 6370
PSCI 6316 International Organizations,PSCI 6316
PPPE 6319 Political Economy of MNCs,PPPE 6319
PPPE 6359 Political Economy of Economic Development,PPPE 6359
PPPE 6365 The Innovation Economy,PPPE 6365
"PPPE 6353 Industry, Technology, and Science Policy",PPPE 6353
PPPE 6368 Political Economy of Finance,PPPE 6368
"PPPE 6373 Issues in Science, Technology and Society",PPPE 6373
IMS 6204 Global Business (2 semester credit hours),IMS 6204
IMS 6212 Global Communication and Negotiations (2 semester credit hours),IMS 6212
IMS 6365 Cross-Culture Communication and Management,IMS 6365
PPPE 6347 Proseminar in Political Institutions and American Politics,PPPE 6347
"PPPE 6329 Ethics, Culture, and Public Policy",PPPE 6329
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
EPPS 6316 Applied Regression,EPPS 6316
EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
PPPE 6310 Research Design I,PPPE 6310
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
PPPE 6321 Economics for Public Policy,PPPE 6321
PPPE 6365 The Innovation Economy,PPPE 6365
