Full Course Name,Course Code
TE 6385 Algorithmic Aspects of Telecommunication Networks,TE 6385
"EESC 6349 Probability, Random Variables, and Statistics",EESC 6349
EESC 6352 Digital Communication Systems,EESC 6352
CS 6352 Performance of Computer Systems and Networks,CS 6352
CS 6390 Advanced Computer Networks,CS 6390
EEGR 6316 Fields and Waves,EEGR 6316
EEOP 6310 Optical Communication Systems,EEOP 6310
EEOP 7340 Optical Network Architectures and Protocols,EEOP 7340
EERF 6311 RF and Microwave Circuits,EERF 6311
EERF 6394 Antenna Engineering and Wave Propagation,EERF 6394
EERF 6395 RF and Microwave Systems Engineering,EERF 6395
EESC 6340 Introduction to Telecommunications Networks,EESC 6340
EESC 6341 Information Theory,EESC 6341
EESC 6343 Detection and Estimation Theory,EESC 6343
EESC 6344 Coding Theory,EESC 6344
EESC 6353 Broadband Digital Communication,EESC 6353
EESC 6360 Digital Signal Processing I,EESC 6360
EESC 6361 Digital Signal Processing II,EESC 6361
EESC 6362 Introduction to Speech Processing,EESC 6362
EESC 6390 Introduction to Wireless Communication Systems,EESC 6390
CS 6349 Network Security,CS 6349
CS 6360 Database Design,CS 6360
CS 6363 Design and Analysis of Computer Algorithms,CS 6363
CS 6368 Telecommunication Network Management,CS 6368
CS 6378 Advanced Operating Systems,CS 6378
CS 6381 Combinatorics and Graph Algorithms,CS 6381
CS 6386 Telecommunication Software Design,CS 6386
CS 6392 Mobile Computing Systems,CS 6392
CS 6396 Real-Time Systems,CS 6396
