Full Course Name,Course Code
LATS 6300 Introduction to Latin American Studies,LATS 6300
HIST 6360 Latin American History,HIST 6360
"HIST 6361 Thought, Culture, and Society in Latin America",HIST 6361
HIST 6365 Mexican History,HIST 6365
HIST 6368 Genocide and Human Rights in Latin America,HIST 6368
LIT 6326 Translation Workshop,LIT 6326
LIT 6382 Latin American Literature,LIT 6382
VPAS 6334 Iberian Culture and Music,VPAS 6334
LATS 6390 Internship in Latin American Studies,LATS 6390
LATS 6399 Capstone Project in Latin American Studies,LATS 6399
