Full Course Name,Course Code
"SMED 5301 Science, Mathematics, and Society",SMED 5301
SMED 5302 Teaching and Learning of Science and Mathematics,SMED 5302
SMED 5303 Introduction to Research and Evaluation in Science and Mathematics Education,SMED 5303
SMED 5304 Research Methods in Science and Mathematics,SMED 5304
SCI 5322 Basis of Evolution,SCI 5322
SCI 5337 Rockin' Around Texas,SCI 5337
SCI 5326 Astronomy,SCI 5326
SCI 5327 Comparative Planetary Science,SCI 5327
SCI 5341 Astrobiology,SCI 5341
SCI 5322 Basis of Evolution,SCI 5322
SCI 5324 Ecology,SCI 5324
SCI 5330 Emerging Topics in Biology,SCI 5330
SCI 5339 Practical Approaches in Genetics,SCI 5339
SCI 5341 Astrobiology,SCI 5341
SCI 5331 Conceptual Physics I: Force and Motion,SCI 5331
SCI 5332 Conceptual Physics II: Particles and Systems,SCI 5332
"SCI 5333 Conceptual Physics III: Atoms, Charges, and Interactions",SCI 5333
SCI 5338 Conceptual Chemistry: The Atom and the Bridge from Physics to Biology,SCI 5338
MTHE 5300 Foundations in Algebra,MTHE 5300
MTHE 5301 Foundations in Geometry,MTHE 5301
MTHE 5302 Foundations in Probability and Statistics,MTHE 5302
MTHE 5321 Concepts and Techniques in Algebra,MTHE 5321
MTHE 5322 Problems Using Geometry,MTHE 5322
MTHE 5323 Problems Using Pre-calculus,MTHE 5323
MTHE 5324 Problems Using Discrete Mathematics,MTHE 5324
MTHE 5325 Problems Using Mathematical Modeling,MTHE 5325
MTHE 5326 Problems Using Statistics and Probability,MTHE 5326
MATH 5305 Practical Applications in Higher Geometry,MATH 5305
MATH 5306 Practical Applications in Non-Euclidean Geometry,MATH 5306
MATH 5301 Elementary Analysis I,MATH 5301
MATH 5302 Elementary Analysis II,MATH 5302
MATH 6311 Abstract Algebra I,MATH 6311
STAT 5351 Probability and Statistics I,STAT 5351
STAT 5352 Probability and Statistics II,STAT 5352
STAT 5353 Probability and Statistics for Data Science and Bioinformatics,STAT 5353
CS 5333 Discrete Structures,CS 5333
SMED 5302 Teaching and Learning of Science and Mathematics,SMED 5302
SMED 5303 Introduction to Research and Evaluation in Science and Mathematics Education,SMED 5303
SMED 5304 Research Methods in Science and Mathematics,SMED 5304
