Full Course Name,Course Code
ACCT 6301 Financial Accounting,ACCT 6301
ACCT 6202 Accounting for Managerial Decision Making and Control,ACCT 6202
BPS 6310 Strategic Management,BPS 6310
FIN 6301 Financial Management,FIN 6301
IMS 6304 International Business Management,IMS 6304
or IMS 6310 International Marketing,IMS 6310
or IMS 6360 International Strategic Management,IMS 6360
or IMS 6365 Cross-Culture Communication and Management,IMS 6365
MECO 6303 Business Economics,MECO 6303
MIS 6313 Managing IT in the Analytics Age,MIS 6313
MKT 6301 Marketing Management,MKT 6301
OB 6301 Organizational Behavior,OB 6301
OPRE 6301 Statistics and Data Analysis,OPRE 6301
OPRE 6302 Operations Management,OPRE 6302
