Full Course Name,Course Code
ATCM 6000 ATEC Colloquium,ATCM 6000
"ATCM 6300 Approaches to Arts, Technology, and Emerging Communication",ATCM 6300
ATCM 6301 Aesthetics of Interactive Arts,ATCM 6301
ATCM 6313 Animation Project Development,ATCM 6313
ATCM 6305 Animation Creative Practices,ATCM 6305
ATCM 6310 Animation Studio I,ATCM 6310
ATCM 6311 Animation Studio II,ATCM 6311
ATCM 6316 Motion Capture,ATCM 6316
ATCM 6317 Procedural Animation,ATCM 6317
ATCM 6321 Digital Fabrication,ATCM 6321
ATCM 6370 Computational Design,ATCM 6370
ATCM 6312 Digital Cinematography,ATCM 6312
ATCM 6315 History of Animation,ATCM 6315
ATCM 6318 Special Topics in Animation,ATCM 6318
ATCM 6377 Creativity as Social Practice,ATCM 6377
ATCM 6386 Digital Textuality,ATCM 6386
ATCM 6388 Critical Making,ATCM 6388
ATCM 6390 Social Science Research Methods in Emerging Communication,ATCM 6390
ATCM 6399 Master's Thesis,ATCM 6399
ATCM 6698 Master's Project I,ATCM 6698
ATCM 6699 Master's Project II,ATCM 6699
ATCM 6000 ATEC Colloquium,ATCM 6000
"ATCM 6300 Approaches to Arts, Technology, and Emerging Communication",ATCM 6300
ATCM 6301 Aesthetics of Interactive Arts,ATCM 6301
ATCM 6377 Creativity as Social Practice,ATCM 6377
ATCM 6302 Theories and Histories of Semiotics,ATCM 6302
"ATCM 6325 Arts, Science, and Humanities",ATCM 6325
ATCM 6327 Experimental Publishing,ATCM 6327
ATCM 6352 Socially Conscious Games,ATCM 6352
ATCM 6365 Design Principles,ATCM 6365
ATCM 6366 Information Architecture and Design,ATCM 6366
ATCM 6371 Visualization Research,ATCM 6371
ATCM 6380 Histories of Emerging Media,ATCM 6380
"ATCM 6382 Privacy, Surveillance, and Technology",ATCM 6382
ATCM 6383 Digital Culture,ATCM 6383
ATCM 6384 Digital Publics and Counterpublics,ATCM 6384
ATCM 6385 Emerging Media and Identity,ATCM 6385
ATCM 6386 Digital Textuality,ATCM 6386
ATCM 6388 Critical Making,ATCM 6388
"ATCM 6395 Special Topics in Arts, Technology, and Emerging Communication",ATCM 6395
VPAS 6312 Art and Society,VPAS 6312
VPAS 6313 The Business of the Arts,VPAS 6313
VPAS 6317 Art and Authorship,VPAS 6317
VPAS 6339 Painting/Digital Imaging/Video,VPAS 6339
VPAS 6375 Imagery and Iconography,VPAS 6375
VPAS 6391 Creativity: Visual Arts Workshop,VPAS 6391
VPAS 6392 Creativity: Image/Text Workshop,VPAS 6392
"ATCM 6304 Computer Processing for Arts, Technology, and Emerging Communication",ATCM 6304
ATCM 6321 Digital Fabrication,ATCM 6321
ATCM 6322 Experimental Interactive Media,ATCM 6322
ATCM 6323 Modeling and Simulation,ATCM 6323
ATCM 6326 Research in Sound Design,ATCM 6326
ATCM 6330 Special Topics in Interactive Media,ATCM 6330
ATCM 6331 Special Topics in Sound Design,ATCM 6331
ATCM 6370 Computational Design,ATCM 6370
ATCM 6387 Emerging Media Studio,ATCM 6387
ATCM 6399 Master's Thesis,ATCM 6399
ATCM 6698 Master's Project I,ATCM 6698
ATCM 6699 Master's Project II,ATCM 6699
ATCM 6000 ATEC Colloquium,ATCM 6000
"ATCM 6300 Approaches to Arts, Technology, and Emerging Communication",ATCM 6300
ATCM 6301 Aesthetics of Interactive Arts,ATCM 6301
ATCM 6335 Game Design and Development,ATCM 6335
ATCM 6336 Critical Game Studies,ATCM 6336
ATCM 6340 Game Production Methods,ATCM 6340
ATCM 6341 Game Production Studio,ATCM 6341
ATCM 6342 Experimental Games Studio,ATCM 6342
ATCM 6343 Educational Games Studio,ATCM 6343
ATCM 6344 Building Virtual Worlds,ATCM 6344
ATCM 6345 Interactive Narrative,ATCM 6345
ATCM 6349 Special Topics in Game Development,ATCM 6349
ATCM 6373 Interactive Environments,ATCM 6373
ATCM 6351 History and Culture of Games,ATCM 6351
ATCM 6352 Socially Conscious Games,ATCM 6352
"ATCM 6353 Games, Education, and Simulation",ATCM 6353
ATCM 6354 Play and Culture,ATCM 6354
ATCM 6356 Anatomy of a Game,ATCM 6356
ATCM 6357 Virtual Worlds and Communities,ATCM 6357
ATCM 6399 Master's Thesis,ATCM 6399
ATCM 6698 Master's Project I,ATCM 6698
ATCM 6699 Master's Project II,ATCM 6699
