Full Course Name,Course Code
ACCT 6330 Intermediate Financial Accounting I,ACCT 6330
ACCT 6331 Cost Accounting: Foundations and Evolutions,ACCT 6331
ACCT 6332 Intermediate Financial Accounting II,ACCT 6332
ACCT 6333 Advanced Financial Reporting,ACCT 6333
ACCT 6335 Ethics for Professional Accountants,ACCT 6335
ACCT 6353 Fundamentals of Taxation II,ACCT 6353
ACCT 6365 Governmental and Not-For-Profit Accounting,ACCT 6365
ACCT 6392 Advanced Auditing,ACCT 6392
ACCT 6193 Professional Accounting - Regulation,ACCT 6193
ACCT 6194 Professional Accounting - Business,ACCT 6194
or ACCT 6195 Professional Accounting Practicum,ACCT 6195
ACCT 6291 Professional Accounting - Financial,ACCT 6291
ACCT 6292 Professional Accounting - Audit,ACCT 6292
ACCT 6291 Professional Accounting - Financial,ACCT 6291
ACCT 6292 Professional Accounting - Audit,ACCT 6292
ACCT 6293 Professional Accounting - Regulation CPA Evolution,ACCT 6293
ACCT 6344 Financial Statement Analysis ,ACCT 6344
ACCT 6345 Business Valuation,ACCT 6345
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
FIN 6301 Financial Management,FIN 6301
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
ACCT 6336 Information Technology Audit and Risk Management,ACCT 6336
ACCT 6343 Accounting Information Systems,ACCT 6343
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6380 Internal Audit,ACCT 6380
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
ACCT 6345 Business Valuation,ACCT 6345
ACCT 6354 Partnership Taxation,ACCT 6354
ACCT 6356 Tax Research,ACCT 6356
ACCT 6367 Multijurisdictional Taxation,ACCT 6367
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6333 Advanced Financial Reporting,ACCT 6333
ACCT 6334 Auditing,ACCT 6334
ACCT 6335 Ethics for Professional Accountants,ACCT 6335
ACCT 6350 Fundamentals of Taxation I,ACCT 6350
ACCT 6353 Fundamentals of Taxation II,ACCT 6353
ACCT 6320 Database Foundations,ACCT 6320
or ACCT 6321 Database Applications for Business Analytics in Accounting,ACCT 6321
or ACCT 6343 Accounting Information Systems,ACCT 6343
or ACCT 6344 Financial Statement Analysis,ACCT 6344
ACCT 6345 Business Valuation,ACCT 6345
or ACCT 6383 Fraud Examination,ACCT 6383
or ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
ACCT 6365 Governmental and Not-For-Profit Accounting,ACCT 6365
or ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6350 Fundamentals of Taxation I,ACCT 6350
ACCT 6353 Fundamentals of Taxation II,ACCT 6353
ACCT 6354 Partnership Taxation,ACCT 6354
or ACCT 6367 Multijurisdictional Taxation,ACCT 6367
ACCT 6356 Tax Research,ACCT 6356
ACCT 6345 Business Valuation,ACCT 6345
or ACCT 6370 Business Law,ACCT 6370
ACCT 6333 Advanced Financial Reporting,ACCT 6333
ACCT 6334 Auditing,ACCT 6334
ACCT 6335 Ethics for Professional Accountants,ACCT 6335
ACCT 6344 Financial Statement Analysis,ACCT 6344
ACCT 6365 Governmental and Not-For-Profit Accounting,ACCT 6365
ACCT 6336 Information Technology Audit and Risk Management,ACCT 6336
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6380 Internal Audit,ACCT 6380
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
ACCT 6392 Advanced Auditing,ACCT 6392
ACCT 6383 Fraud Examination,ACCT 6383
or ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
ACCT 6334 Auditing,ACCT 6334
ACCT 6335 Ethics for Professional Accountants,ACCT 6335
ACCT 6336 Information Technology Audit and Risk Management,ACCT 6336
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6377 Corporate Governance,ACCT 6377
ACCT 6380 Internal Audit,ACCT 6380
ACCT 6383 Fraud Examination,ACCT 6383
ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
ACCT 6392 Advanced Auditing,ACCT 6392
ACCT 6V98 Accounting Internship,ACCT 6V98
ACCT 6333 Advanced Financial Reporting,ACCT 6333
"ACCT 6341 Planning, Control and Performance Evaluation",ACCT 6341
ACCT 6342 Strategic Cost Management,ACCT 6342
ACCT 6344 Financial Statement Analysis,ACCT 6344
ACCT 6345 Business Valuation,ACCT 6345
ACCT 6320 Database Foundations,ACCT 6320
or ACCT 6321 Database Applications for Business Analytics in Accounting,ACCT 6321
ACCT 6338 Accounting Systems Integration and Configuration,ACCT 6338
or ACCT 6343 Accounting Information Systems,ACCT 6343
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
or ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
BUAN 6324 Business Analytics with SAS,BUAN 6324
or BUAN 6356 Business Analytics with R,BUAN 6356
FIN 6301 Financial Management,FIN 6301
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6301 Statistics and Data Analysis,OPRE 6301
BUAN 6312 Applied Econometrics and Time Series Analysis,BUAN 6312
FIN 6350 Advanced Corporate Finance,FIN 6350
MECO 6303 Business Economics,MECO 6303
or MECO 6345 Advanced Managerial Economics,MECO 6345
ACCT 7323 Empirical Research in Accounting and Economics,ACCT 7323
ACCT 6334 Auditing,ACCT 6334
ACCT 6344 Financial Statement Analysis,ACCT 6344
ACCT 6350 Fundamentals of Taxation I,ACCT 6350
ACCT 6368 Forensic Analysis of Corporate Disclosures,ACCT 6368
OPRE 6301 Statistics and Data Analysis,OPRE 6301
BUAN 6312 Applied Econometrics and Time Series Analysis,BUAN 6312
FIN 6350 Advanced Corporate Finance,FIN 6350
MECO 6303 Business Economics,MECO 6303
or MECO 6345 Advanced Managerial Economics,MECO 6345
ACCT 7323 Empirical Research in Accounting and Economics,ACCT 7323
