Full Course Name,Course Code
ACN 6330 Cognitive Science,ACN 6330
ACN 6331 Cognitive Development,ACN 6331
ACN 6332 Perception,ACN 6332
ACN 6333 Memory,ACN 6333
ACN 6334 Attention,ACN 6334
ACN 6338 Functional Neuroanatomy,ACN 6338
ACN 6340 Cellular Neuroscience,ACN 6340
ACN 6341 Foundations of Human-Computer Interaction,ACN 6341
ACN 6346 Systems Neuroscience,ACN 6346
ACN 6348 Neural Net Mathematics,ACN 6348
ACN 6367 Speech Perception,ACN 6367
ACN 6395 Cognitive Psychology,ACN 6395
ACN 7343 Neuropharmacology,ACN 7343
ACN 6345 Neurobiology of Learning and Memory,ACN 6345
ACN 6323 Neurophysiology,ACN 6323
ACN 5314 Computational Modeling Methods in Behavioral and Brain Sciences,ACN 5314
ACN 6310 Fundamentals of Functional Brain Imaging,ACN 6310
ACN 6312 Research Methods in Behavioral and Brain Sciences - Part I,ACN 6312
ACN 6313 Research Methods in Behavioral and Brain Sciences - Part II,ACN 6313
ACN 6337 Cognitive Ethnography,ACN 6337
ACN 6342 Applied Human-Computer Interaction,ACN 6342
ACN 6344 Human-Computer Interaction Lab,ACN 6344
ACN 6349 Statistical Machine Learning,ACN 6349
ACN 6373 Intraoperative Neurophysiological Monitoring (IONM) Part I,ACN 6373
ACN 6374 Intraoperative Neurophysiological Monitoring (IONM) Part II,ACN 6374
ACN 6375 IONM Special Topics,ACN 6375
ACN 6388 MATLAB for Brain Sciences,ACN 6388
ACN 6389 Speech Perception Laboratory,ACN 6389
ACN 7320 Topics in Multivariate Data Analysis using R,ACN 7320
ACN 7321 Topics in Multivariate Data Analysis Theory,ACN 7321
"HCS 6341 Genes, Brain, and Behavior",HCS 6341
HCS 6315 Scientific and Grant Writing,HCS 6315
ACN 6V71 Industry Internship,ACN 6V71
ACN 6V72 Research Internship,ACN 6V72
HCS 8V87 Research in Psychology,HCS 8V87
"HCS 8V88 Research in Speech, Language, and Hearing Sciences",HCS 8V88
HCS 8V89 Research in Neuroscience\,HCS 8V89
ACN 6V91 Thesis in Applied Cognition and Neuroscience,ACN 6V91
