Full Course Name,Course Code
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
SOC 6350 Social Stratification,SOC 6350
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
PA 7330 Research Design in Public Affairs,PA 7330
PPPE 6310 Research Design I,PPPE 6310
SOC 6315 Evaluating Program and Organizational Performance,SOC 6315
EPPS 6316 Applied Regression,EPPS 6316
EPPS 6346 Qualitative Research Orientation,EPPS 6346
SOC 6340 Domestic Social Policy,SOC 6340
SOC 6312 Social-Economic Theories,SOC 6312
SOC 5V92 Internship in Applied Sociology,SOC 5V92
SOC 6V92 Research Workshop in Applied Sociology,SOC 6V92
