Full Course Name,Course Code
BUAN 6312 Applied Econometrics and Time Series Analysis,BUAN 6312
BUAN 6320 Database Foundations for Business Analytics,BUAN 6320
BUAN 6324 Business Analytics With SAS,BUAN 6324
or BUAN 6356 Business Analytics With R,BUAN 6356
BUAN 6337 Predictive Analytics Using SAS,BUAN 6337
BUAN 6398 Prescriptive Analytics,BUAN 6398
BUAN 6359 Advanced Statistics for Data Science,BUAN 6359
BUAN 6009 Business Analytics Internship (Required Elective),BUAN 6009
ACCT 6301 Financial Accounting,ACCT 6301
or ACCT 6330 Intermediate Financial Accounting I,ACCT 6330
ACCT 6336 Information Technology Audit and Risk Management,ACCT 6336
ACCT 6343 Accounting Information Systems,ACCT 6343
ACCT 6344 Financial Statement Analysis,ACCT 6344
or ACCT 6332 Intermediate Financial Accounting II,ACCT 6332
ACCT 6374 Advanced Data Analytics for Accountants and Auditors,ACCT 6374
ACCT 6384 Analytical Reviews Using Audit Software,ACCT 6384
or ACCT 6334 Auditing,ACCT 6334
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
BUAN 6368 Applied Cybersecurity Analytics and Risk Management,BUAN 6368
MIS 6316 Data Communications,MIS 6316
MIS 6330 Cybersecurity Fundamentals,MIS 6330
MIS 6333 Digital Forensics and Incident Management,MIS 6333
MIS 6337 Information Technology Audit and Risk Management,MIS 6337
MIS 6384 Preparing for Cybersecurity Threats,MIS 6384
BUAN 6340 Programming for Data Science,BUAN 6340
BUAN 6345 SAP Analytics,BUAN 6345
BUAN 6346 Big Data,BUAN 6346
BUAN 6347 Advanced Big Data Analytics,BUAN 6347
BUAN 6358 AWS Cloud Analytics,BUAN 6358
BUAN 6385 Robotic Process Automation,BUAN 6385
MIS 6309 Business Data Warehousing,MIS 6309
MIS 6363 Cloud Computing Fundamentals,MIS 6363
MIS 6389 AWS Cloud Solution Architecture,MIS 6389
BUAN 6311 Robotics and Financial Technology,BUAN 6311
BUAN 6335 Organizing for Business Analytics Platforms,BUAN 6335
BUAN 6340 Programming for Data Science,BUAN 6340
BUAN 6341 Applied Machine Learning,BUAN 6341
BUAN 6342 Applied Natural Language Processing,BUAN 6342
BUAN 6346 Big Data,BUAN 6346
BUAN 6357 Advanced Business Analytics With R,BUAN 6357
BUAN 6383 Modeling for Business Analytics,BUAN 6383
BUAN 6382 Applied Deep Learning,BUAN 6382
BUAN 6385 Robotic Process Automation,BUAN 6385
BUAN 6392 Causal Analytics and A/B Testing,BUAN 6392
MIS 6380 Data Visualization,MIS 6380
BUAN 6385 Robotic Process Automation,BUAN 6385
MIS 6398 Blockchain Technology and Applications,MIS 6398
OPRE 6302 Operations Management,OPRE 6302
OPRE 6304 Operations Analytics,OPRE 6304
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6335 Risk and Decision Analysis,OPRE 6335
OPRE 6377 Demand and Revenue Analytics,OPRE 6377
OPRE 6378 Supply Chain Strategy,OPRE 6378
BUAN 6345 SAP Analytics,BUAN 6345
BUAN 6386 SAP Cloud Analytics,BUAN 6386
MIS 6319 Intelligent Enterprise Systems with SAP,MIS 6319
MIS 6309 Business Data Warehousing,MIS 6309
MIS 6332 ERP Configurations and Implementation with SAP,MIS 6332
MIS 6369 Supply Chain Software with SAP,MIS 6369
ACCT 6301 Financial Accounting,ACCT 6301
FIN 6301 Financial Management,FIN 6301
FIN 6307 Mathematical Methods for Finance,FIN 6307
FIN 6352 Financial Modeling For Valuation,FIN 6352
FIN 6353 Financial Modeling for Investment Analysis,FIN 6353
FIN 6360 Derivatives Markets,FIN 6360
FIN 6368 Financial Information and Analysis,FIN 6368
FIN 6382 Numerical and Statistical Methods in Finance,FIN 6382
FIN 6392 Financial Technology and Blockchain,FIN 6392
MIS 6398 Blockchain Technology and Applications,MIS 6398
HMGT 6320 The American Healthcare System,HMGT 6320
HMGT 6323 Healthcare Informatics,HMGT 6323
HMGT 6325 Healthcare Operations Management,HMGT 6325
HMGT 6327 Electronic Health Records Applications,HMGT 6327
HMGT 6334 Healthcare Analytics,HMGT 6334
BUAN 6335 Organizing for Business Analytics Platforms,BUAN 6335
BUAN 6392 Causal Analytics and A/B Testing,BUAN 6392
MKT 6301 Marketing Management,MKT 6301
MKT 6309 Marketing Data Analysis and Research,MKT 6309
MKT 6336 Pricing Analytics,MKT 6336
MKT 6341 Marketing Automation and Campaign Management,MKT 6341
MKT 6342 Marketing Customer Insights Development,MKT 6342
MKT 6343 Social Media Marketing and Insights,MKT 6343
MKT 6345 Quantitative Marketing Decision-Making,MKT 6345
MKT 6347 Marketing Analytics Project,MKT 6347
MKT 6349 MarTech Ecosystem,MKT 6349
MKT 6352 Marketing Web Analytics and Insights,MKT 6352
MKT 6353 Customer Analytics and Insights,MKT 6353
MKT 6384 Advanced Marketing Web Analytics and Insights,MKT 6384
BUAN 6335 Organizing for Business Analytics Platforms,BUAN 6335
BUAN 6340 Programming for Data Science,BUAN 6340
BUAN 6341 Applied Machine Learning,BUAN 6341
BUAN 6344 Web Analytics,BUAN 6344
BUAN 6392 Causal Analytics and A/B Testing,BUAN 6392
MIS 6334 Advanced Business Analytics with SAS,MIS 6334
MIS 6373 Social Media Business,MIS 6373
MIS 6378 Customer Relationship Management with Salesforce,MIS 6378
MIS 6380 Data Visualization,MIS 6380
BUAN 6341 Applied Machine Learning,BUAN 6341
BUAN 6356 Business Analytics with R,BUAN 6356
BUAN 6359 Advanced Statistics for Data Science,BUAN 6359
BUAN 6342 Applied Natural Language Processing,BUAN 6342
BUAN 6382 Applied Deep Learning,BUAN 6382
