Full Course Name,Course Code
CE 6304 Computer Architecture,CE 6304
CE 6302 Microprocessor and Embedded Systems,CE 6302
CE 6370 Design and Analysis of Reconfigurable Systems,CE 6370
EESC 6367 Applied Digital Signal Processing,EESC 6367
CE 6301 Advanced Digital Logic,CE 6301
CE 6325 VLSI Design,CE 6325
CE 6303 Testing and Testable Design,CE 6303
CE 6306 Application Specific Integrated Circuits Design,CE 6306
CE 6375 Design Automation of VLSI Systems,CE 6375
EESC 6360 Digital Signal Processing I,EESC 6360
EESC 6364 Machine Learning and Pattern Recognition,EESC 6364
CE 6308 Real-Time Systems,CE 6308
CS 6313 Statistical Methods for Data Science,CS 6313
CS 6324 Information Security,CS 6324
CS 6360 Database Design,CS 6360
CS 6363 Design and Analysis of Computer Algorithms,CS 6363
CS 6375 Machine Learning,CS 6375
CS 6378 Advanced Operating Systems,CS 6378
CS 6390 Advanced Computer Networks,CS 6390
CE 6304 Computer Architecture,CE 6304
CE 6325 VLSI Design,CE 6325
CS 6363 Design and Analysis of Computer Algorithms,CS 6363
CS 6378 Advanced Operating Systems,CS 6378
CE 6301 Advanced Digital Logic,CE 6301
CE 6302 Microprocessor and Embedded Systems,CE 6302
CE 6303 Testing and Testable Design,CE 6303
CE 6306 Application Specific Integrated Circuits Design,CE 6306
CE 6370 Design and Analysis of Reconfigurable Systems,CE 6370
EESC 6367 Applied Digital Signal Processing,EESC 6367
CE 6308 Real-Time Systems,CE 6308
CS 6324 Information Security,CS 6324
CS 6353 Compiler Construction,CS 6353
CS 6360 Database Design,CS 6360
CS 6375 Machine Learning,CS 6375
CS 6390 Advanced Computer Networks,CS 6390
