Full Course Name,Course Code
EECT 6325 VLSI Design,EECT 6325
EECT 6326 Analog Integrated Circuit Design,EECT 6326
EERF 6311 RF and Microwave Circuits,EERF 6311
EEDG 6301 Advanced Digital Logic,EEDG 6301
EEDG 6302 Microprocessor and Embedded Systems,EEDG 6302
EEDG 6304 Computer Architecture,EEDG 6304
EEGR 6316 Fields and Waves,EEGR 6316
EEMF 6319 Quantum Physical Electronics,EEMF 6319
EEMF 6322 Semiconductor Processing Technology,EEMF 6322
EEPE 6354 Power Electronics,EEPE 6354
EEPE 6398 General Theory of Electric Machines,EEPE 6398
"EEPE 6357 Control, Modeling and Simulation in Power Electronics",EEPE 6357
"EESC 6349 Probability, Random Variables, and Statistics",EESC 6349
EESC 6352 Digital Communication Systems,EESC 6352
EECS 6331 Linear Systems,EECS 6331
EESC 6360 Digital Signal Processing I,EESC 6360
