Full Course Name,Course Code
ACCT 6305 Accounting for Managers,ACCT 6305
or ACCT 6301 Financial Accounting and ACCT 6202 Accounting for Managerial Decision Making and Control,ACCT 6301
FIN 6301 Financial Management,FIN 6301
MECO 6303 Business Economics,MECO 6303
OPRE 6302 Operations Management,OPRE 6302
ENGY 6330 Energy Law and Contracts,ENGY 6330
FIN 6335 Energy Finance,FIN 6335
FIN 6336 Energy Joint Interest Accounting,FIN 6336
MECO 6318 Energy Economics and The Cost of Regulation,MECO 6318
"OPRE 6389 Managing Energy: Risk, Investment, Technology (MERIT)",OPRE 6389
ENGY 6009 Energy Management Internship (required elective),ENGY 6009
ENGY 6331 Capstone Project in Energy,ENGY 6331
ENGY 6332 Energy and Sustainability,ENGY 6332
ENGY 6362 Project Management in Engineering and Operations,ENGY 6362
ENGY 6V99 Special Topics in Energy Management,ENGY 6V99
FIN 6352 Financial Modeling For Valuation,FIN 6352
FIN 6360 Derivatives Markets,FIN 6360
FIN 6368 Financial Information and Analysis,FIN 6368
GISC 6381 Geographic Information Systems Fundamentals,GISC 6381
IMS 6343 Sustainability in a Global Business Environment,IMS 6343
IMS 6360 International Strategic Management,IMS 6360
IMS 6365 Cross-Culture Communication and Management,IMS 6365
MECO 6312 Applied Econometrics and Time Series Analysis,MECO 6312
MECO 6352 Financial Negotiation and Dispute Resolution,MECO 6352
OB 6332 Negotiation and Dispute Resolution,OB 6332
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6335 Risk and Decision Analysis,OPRE 6335
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
OPRE 6366 Global Supply Chain Management,OPRE 6366
OPRE 6378 Supply Chain Strategy,OPRE 6378
OPRE 6370 Global Logistics and Transportation,OPRE 6370
"OPRE 6371 Purchasing, Sourcing and Contract Management",OPRE 6371
FIN 6307 Mathematical Methods for Finance,FIN 6307
FIN 6318 Analytics of Finance,FIN 6318
FIN 6360 Derivatives Markets,FIN 6360
OPRE 6335 Risk and Decision Analysis,OPRE 6335
MECO 6312 Applied Econometrics and Time Series Analysis,MECO 6312
MKT 6337 Predictive Analytics Using SAS,MKT 6337
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6398 Prescriptive Analytics,OPRE 6398
IMS 6360 International Strategic Management,IMS 6360
IMS 6365 Cross-Culture Communication and Management,IMS 6365
OB 6331 Power and Politics in Organizations,OB 6331
OB 6332 Negotiation and Dispute Resolution,OB 6332
OPRE 6366 Global Supply Chain Management,OPRE 6366
OPRE 6370 Global Logistics and Transportation,OPRE 6370
"OPRE 6371 Purchasing, Sourcing and Contract Management",OPRE 6371
OPRE 6378 Supply Chain Strategy,OPRE 6378
