Full Course Name,Course Code
ACCT 6301 Financial Accounting,ACCT 6301
or ACCT 6305 Accounting for Managers,ACCT 6305
FIN 6301 Financial Management,FIN 6301
FIN 6307 Mathematical Methods for Finance,FIN 6307
FIN 6318 Analytics of Finance,FIN 6318
FIN 6352 Financial Modeling for Valuation,FIN 6352
or FIN 6353 Financial Modeling for Investment Analysis,FIN 6353
FIN 6360 Derivatives Markets,FIN 6360
FIN 6009 Finance Internship (required elective),FIN 6009
ACCT 6344 Financial Statement Analysis,ACCT 6344
FIN 6308 Regulation of Business and Financial Markets,FIN 6308
FIN 6310 Investment Theory and Practice,FIN 6310
FIN 6314 Fixed Income Securities,FIN 6314
FIN 6325 Macroeconomics and Financial Markets,FIN 6325
FIN 6330 Behavioral Finance,FIN 6330
FIN 6353 Financial Modeling for Investment Analysis (if not used in core),FIN 6353
FIN 6364 Portfolio Analysis and Management,FIN 6364
FIN 6368 Financial Information and Analysis,FIN 6368
FIN 6370 Advanced Theory of Finance and Its Applications,FIN 6370
FIN 6380 Global Fund Management,FIN 6380
FIN 6392 Financial Technology and Blockchain,FIN 6392
FIN 6V98 Finance Internship,FIN 6V98
FIN 6315 Entrepreneurial Finance,FIN 6315
FIN 6316 Private Equity Finance,FIN 6316
FIN 6350 Advanced Corporate Finance,FIN 6350
FIN 6352 Financial Modeling for Valuation (if not used in core),FIN 6352
FIN 6355 Corporate Finance and Policy,FIN 6355
FIN 6356 Mergers and Acquisitions,FIN 6356
FIN 6357 Corporate Restructuring and Turnarounds,FIN 6357
FIN 6366 International Financial Management,FIN 6366
FIN 6370 Advanced Theory of Finance and Its Applications,FIN 6370
FIN 6V98 Finance Internship,FIN 6V98
ACCT 6330 Intermediate Financial Accounting I,ACCT 6330
ACCT 6332 Intermediate Financial Accounting II,ACCT 6332
MECO 6352 Financial Negotiation and Dispute Resolution,MECO 6352
FIN 6321 Introduction to Real Estate,FIN 6321
FIN 6322 Real Estate Finance and Investment,FIN 6322
FIN 6323 Real Estate Market Analysis and Investment,FIN 6323
FIN 6326 Real Estate Law and Contract,FIN 6326
FIN 6V98 Finance Internship,FIN 6V98
FIN 6308 Regulation of Business and Financial Markets,FIN 6308
FIN 6314 Fixed Income Securities,FIN 6314
FIN 6315 Entrepreneurial Finance,FIN 6315
FIN 6325 Macroeconomics and Financial Markets,FIN 6325
FIN 6310 Investment Theory and Practice,FIN 6310
FIN 6325 Macroeconomics and Financial Markets,FIN 6325
FIN 6368 Financial Information and Analysis,FIN 6368
FIN 6380 Global Fund Management,FIN 6380
FIN 6392 Financial Technology and Blockchain,FIN 6392
FIN 6V98 Finance Internship,FIN 6V98
BUAN 6320 Database Foundations for Analytics,BUAN 6320
or MIS 6320 Database Foundations,MIS 6320
MIS 6309 Business Data Warehousing,MIS 6309
MIS 6324 Business Analytics with SAS,MIS 6324
or MIS 6356 Business Analytics with R,MIS 6356
FIN 6308 Regulation of Business and Financial Markets,FIN 6308
FIN 6310 Investment Theory and Practice,FIN 6310
FIN 6314 Fixed Income Securities,FIN 6314
FIN 6315 Entrepreneurial Finance,FIN 6315
FIN 6316 Private Equity Finance,FIN 6316
FIN 6321 Introduction to Real Estate,FIN 6321
FIN 6322 Real Estate Finance and Investment,FIN 6322
FIN 6323 Real Estate Market Analysis and Investment,FIN 6323
FIN 6325 Macroeconomics and Financial Markets,FIN 6325
FIN 6326 Real Estate Law and Contracts,FIN 6326
FIN 6330 Behavioral Finance,FIN 6330
FIN 6335 Energy Finance,FIN 6335
FIN 6350 Advanced Corporate Finance,FIN 6350
FIN 6352 Financial Modeling for Valuation (if not used in core),FIN 6352
FIN 6353 Financial Modeling for Investment Analysis (if not used in core),FIN 6353
FIN 6355 Corporate Finance and Policy,FIN 6355
FIN 6356 Mergers and Acquisitions,FIN 6356
FIN 6357 Corporate Restructuring and Turnarounds,FIN 6357
FIN 6362 Quantitative Financial Management,FIN 6362
FIN 6364 Portfolio Analysis and Management,FIN 6364
FIN 6366 International Financial Management,FIN 6366
FIN 6368 Financial Information and Analysis,FIN 6368
FIN 6370 Advanced Theory of Finance and Its Applications,FIN 6370
FIN 6380 Global Fund Management,FIN 6380
FIN 6381 Introductory Mathematical Finance,FIN 6381
FIN 6382 Numerical and Statistical Methods in Finance,FIN 6382
FIN 6392 Financial Technology and Blockchain,FIN 6392
FIN 6V98 Finance Internship,FIN 6V98
FIN 6V99 Special Topics in Finance,FIN 6V99
