Full Course Name,Course Code
HMGT 6311 Healthcare Financial and Operations Accounting,HMGT 6311
HMGT 6320 The American Healthcare System,HMGT 6320
HMGT 6321 Strategic Leadership of Healthcare Organizations,HMGT 6321
HMGT 6323 Healthcare Informatics,HMGT 6323
HMGT 6324 Healthcare Negotiation and Dispute Resolution,HMGT 6324
HMGT 6325 Healthcare Operations Management,HMGT 6325
"HMGT 6330 Healthcare Law, Policy and Regulation",HMGT 6330
HMGT 6331 Healthcare Economics,HMGT 6331
HMGT 6332 Quality Improvement in Healthcare: Six Sigma and Beyond,HMGT 6332
HMGT 6327 Electronic Health Records Applications,HMGT 6327
HMGT 6334 Healthcare Analytics,HMGT 6334
or MIS 6324 Business Analytics with SAS,MIS 6324
OPRE 6301 Statistics and Data Analysis    ,OPRE 6301
HMGT 6336 Information Technology Audit and Risk Management,HMGT 6336
HMGT 6380 Internal Audit,HMGT 6380
HMGT 6393 Advanced Auditing,HMGT 6393
HMGT 6332 Quality Improvement in Healthcare: Six Sigma and Beyond,HMGT 6332
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6301 Statistics and Data Analysis,OPRE 6301
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
"OPRE 6371 Purchasing, Sourcing and Contract Management",OPRE 6371
HMGT 6320 The American Healthcare System,HMGT 6320
HMGT 6321 Strategic Leadership of Healthcare Organizations,HMGT 6321
HMGT 6323 Healthcare Informatics,HMGT 6323
HMGT 6332 Quality Improvement in Healthcare: Six Sigma and Beyond,HMGT 6332
HMGT 6323 Healthcare Informatics,HMGT 6323
HMGT 6327 Electronic Health Records Applications,HMGT 6327
HMGT 6334 Healthcare Analytics,HMGT 6334
