Full Course Name,Course Code
MIS 6009 Information Systems Internship (required elective),MIS 6009
MIS 6323 Object Oriented Programming in Java,MIS 6323
or MIS 6382 Object Oriented Programming in Python,MIS 6382
BUAN 6320 Database Foundations for Business Analytics,BUAN 6320
or MIS 6326 Data Management,MIS 6326
MIS 6308 System Analysis and Project Management,MIS 6308
OPRE 6301 Statistics and Data Analysis,OPRE 6301
OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
ACCT 6305 Accounting for Managers,ACCT 6305
ACCT 6336 Information Technology Audit and Risk Management,ACCT 6336
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
MKT 6301 Marketing Management,MKT 6301
MKT 6337 Predictive Analytics Using SAS,MKT 6337
MKT 6321 Interactive and Digital Marketing,MKT 6321
MKT 6382 Professional Selling I,MKT 6382
ENTP 6370 Innovation and Entrepreneurship,ENTP 6370
ENTP 6375 Technology and New Product Development,ENTP 6375
OB 6301 Organizational Behavior,OB 6301
OB 6332 Negotiation and Dispute Resolution,OB 6332
OB 6334 Foundations of Organizational Development,OB 6334
HMGT 6320 The American Healthcare System,HMGT 6320
BPS 6310 Strategic Management,BPS 6310
BPS 6332 Strategic Leadership,BPS 6332
OPRE 6302 Operations Management,OPRE 6302
OPRE 6304 Operations Analytics,OPRE 6304
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
MECO 6303 Business Economics,MECO 6303
FIN 6301 Financial Management,FIN 6301
REAL 6321 Introduction to Real Estate,REAL 6321
IMS 6304 International Business Management,IMS 6304
IMS 6310 International Marketing,IMS 6310
IMS 6360 International Strategic Management,IMS 6360
IMS 6365 Cross-Culture Communication and Management,IMS 6365
IMS 6V92 Regional Area Studies: Western Europe,IMS 6V92
MIS 6309 Business Data Warehousing,MIS 6309
MIS 6319 Intelligent Enterprise Systems with SAP,MIS 6319
MIS 6332 Intelligent Enterprise Systems Configurations and Implementation with SAP,MIS 6332
MIS 6338 Accounting Systems Integration and Configuration,MIS 6338
MIS 6345 SAP Analytics,MIS 6345
MIS 6369 Supply Chain Software with SAP,MIS 6369
