Full Course Name,Course Code
ACCT 6305 Accounting for Managers,ACCT 6305
ENTP 6315 Entrepreneurial Finance,ENTP 6315
ENTP 6370 Innovation and Entrepreneurship,ENTP 6370
ENTP 6360 Startup Launch I,ENTP 6360
or ENTP 6365 Technology Commercialization and Concept Validation,ENTP 6365
ENTP 6375 Technology and New Product Development,ENTP 6375
ENTP 6378 Managing the Emerging Enterprise,ENTP 6378
ENTP 6380 Market Entry Strategies,ENTP 6380
ENTP 6390 Business Model Innovation,ENTP 6390
ENTP 6375 Technology and New Product Development,ENTP 6375
ENTP 6380 Market Entry Strategies,ENTP 6380
ENTP 6388 Managing Innovation within the Corporation,ENTP 6388
ENTP 6390 Business Model Innovation,ENTP 6390
ENTP 6398 The Entrepreneurial Experience,ENTP 6398
IMS 6304 International Business Management,IMS 6304
IMS 6310 International Marketing,IMS 6310
IMS 6314 Global E-Business Marketing,IMS 6314
IMS 6365 Cross-Culture Communication and Management,IMS 6365
MKT 6301 Marketing Management,MKT 6301
OB 6301 Organizational Behavior,OB 6301
OB 6321 Principles of Leadership,OB 6321
ENTP 6375 Technology and New Product Development (required),ENTP 6375
ENTP 6388 Managing Innovation within the Corporation (required),ENTP 6388
ENTP 6380 Market Entry Strategies,ENTP 6380
or ENTP 6398 The Entrepreneurial Experience,ENTP 6398
ENTP 6370 Innovation and Entrepreneurship (required),ENTP 6370
ENTP 6360 Startup Launch I,ENTP 6360
ENTP 6361 Startup Launch II,ENTP 6361
ENTP 6378 Managing the Emerging Enterprise,ENTP 6378
ENTP 6380 Market Entry Strategies,ENTP 6380
ENTP 6390 Business Model Innovation,ENTP 6390
