Full Course Name,Course Code
IMS 6304 International Business Management,IMS 6304
IMS 6310 International Marketing Decision Making,IMS 6310
IMS 6360 International Strategy Analysis and Techniques,IMS 6360
IMS 6365 Cross-cultural Management Analysis,IMS 6365
IMS 6367 International Management Capstone,IMS 6367
IMS 6373 Data Analytics for International Business,IMS 6373
IMS 6302 Legal Aspects of International Business Transactions,IMS 6302
IMS 6363 Regional Area Studies,IMS 6363
IMS 6381 Managing Global Teams,IMS 6381
IMS 6V98 International Management Internship,IMS 6V98
IMS 6V99 Special Topics in International Management Studies,IMS 6V99
BUAN 6312 Applied Econometrics and Time Series Analysis,BUAN 6312
BUAN 6320 Database Foundations for Business Analytics,BUAN 6320
BUAN 6335 Organizing for Business Analytics Platforms,BUAN 6335
BUAN 6344 Web Analytics,BUAN 6344
BUAN 6345 SAP Analytics,BUAN 6345
BUAN 6346 Big Data,BUAN 6346
BUAN 6347 Advanced Big Data Analytics,BUAN 6347
BUAN 6398 Prescriptive Analytics,BUAN 6398
MIS 6309 Business Data Warehousing,MIS 6309
MIS 6319 Enterprise Resource Planning with SAP,MIS 6319
MIS 6320 Database Foundations,MIS 6320
MIS 6332 ERP Configurations and Implementation with SAP,MIS 6332
MIS 6373 Social Media Business,MIS 6373
MIS 6378 Customer Relationship Management with Salesforce,MIS 6378
MIS 6380 Data Visualization,MIS 6380
OPRE 6301 (SYSM 6303) Statistics and Data Analysis,OPRE 6301
OPRE 6302 Operations Management,OPRE 6302
OPRE 6304 Operations Analytics,OPRE 6304
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6335 Risk and Decision Analysis,OPRE 6335
OPRE 6377 Demand and Revenue Analytics,OPRE 6377
FIN 6301 Financial Management,FIN 6301
FIN 6308 Regulation of Business and Financial Markets,FIN 6308
FIN 6310 Investment Theory and Practice,FIN 6310
FIN 6315 Entrepreneurial Finance,FIN 6315
FIN 6316 Private Equity Finance,FIN 6316
FIN 6321 Introduction to Real Estate,FIN 6321
FIN 6322 Real Estate Finance and Investment,FIN 6322
FIN 6323 Real Estate Market Analysis and Investment,FIN 6323
FIN 6325 Macroeconomics and Financial Markets,FIN 6325
FIN 6326 Real Estate Law and Contracts,FIN 6326
FIN 6330 Behavioral Finance,FIN 6330
FIN 6352 (ENTP 6355) Financial Modeling For Valuation,FIN 6352
FIN 6356 Mergers and Acquisitions,FIN 6356
FIN 6357 Digital Transformation and Value Creation,FIN 6357
FIN 6364 Portfolio Analysis and Management,FIN 6364
FIN 6366 International Financial Management,FIN 6366
FIN 6370 Advanced Theory of Finance and Its Applications,FIN 6370
FIN 6380 Global Fund Management,FIN 6380
ACCT 6301 Financial Accounting,ACCT 6301
"ACCT 6386 Governance, Risk Management and Compliance (GRC)",ACCT 6386
