Full Course Name,Course Code
MIS 6324 Business Analytics with SAS,MIS 6324
or MIS 6356 Business Analytics with R,MIS 6356
MIS 6320 Database Foundations,MIS 6320
or BUAN 6320 Database Foundations for Business Analytics,BUAN 6320
OPRE 6301 Statistics and Data Analysis,OPRE 6301
or OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
MAS 6009 Management Internship,MAS 6009
MAS 6367 Capstone Projects in Management Science,MAS 6367
MAS 6V98 Management Internship,MAS 6V98
