Full Course Name,Course Code
MKT 6301 Marketing Management,MKT 6301
MKT 6309 Marketing Data Analysis and Research,MKT 6309
MKT 6310 Consumer Behavior Science and Practice,MKT 6310
MKT 6339 Capstone Marketing Decision Making,MKT 6339
or MKT 6350 Marketing Strategy and Game Theory Framework,MKT 6350
OPRE 6301 Statistics and Data Analysis,OPRE 6301
or OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
MKT 6321 Interactive and Digital Marketing,MKT 6321
MKT 6330 Brand Management,MKT 6330
MKT 6332 Advertising and Promotional Strategy,MKT 6332
MKT 6343 Social Media Marketing and Insights,MKT 6343
MKT 6340 Marketing Projects,MKT 6340
MKT 6341 Marketing Automation and Campaign Management,MKT 6341
MKT 6342 Marketing Customer Insights Development,MKT 6342
MKT 6350 Marketing Strategy and Game Theory Framework,MKT 6350
MKT 6352 Marketing Web Analytics and Insights,MKT 6352
MKT 6353 Customer Analytics and Insights,MKT 6353
MKT 6V98 Marketing Internship,MKT 6V98
MKT 6V99 Special Topics in Marketing,MKT 6V99
MKT 6334 Digital Sales Strategy,MKT 6334
MKT 6382 Professional Selling I,MKT 6382
OB 6332 Negotiation and Dispute Resolution,OB 6332
MKT 6321 Interactive and Digital Marketing,MKT 6321
MKT 6331 Building and Managing Professional Sales Organizations,MKT 6331
MKT 6341 Marketing Automation and Campaign Management,MKT 6341
MKT 6352 Marketing Web Analytics and Insights,MKT 6352
MKT 6353 Customer Analytics and Insights,MKT 6353
MKT 6380 Market Entry Strategies,MKT 6380
BPS 6360 Management and Organizational Consulting: Theory and Practice,BPS 6360
MKT 6342 Marketing Customer Insights Development,MKT 6342
MKT 6V98 Marketing Internship,MKT 6V98
MKT 6V99 Special Topics in Marketing,MKT 6V99
BPS 6332 Strategic Leadership,BPS 6332
MIS 6380 Data Visualization,MIS 6380
MKT 6321 Interactive and Digital Marketing,MKT 6321
MKT 6343 Social Media Marketing and Insights,MKT 6343
MKT 6349 MarTech Ecosystem,MKT 6349
MKT 6352 Marketing Web Analytics and Insights,MKT 6352
"MKT 6374 eCommerce Strategy, Marketing, and Operations",MKT 6374
