Full Course Name,Course Code
MSEN 5310 Thermodynamics of Materials,MSEN 5310
MSEN 5360 Materials Characterization,MSEN 5360
MSEN 6319 Quantum Mechanics for Materials Scientists,MSEN 6319
"MSEN 6324 (EEMF 6324) Electronic, Optical and Magnetic Materials",MSEN 6324
MSEN 5361 Fundamentals of Surface and Thin Film Analysis,MSEN 5361
MSEN 5377 (PHYS 5377) Computational Physics of Nanomaterials,MSEN 5377
MSEN 6310 (MECH 6367) Mechanical Properties of Materials,MSEN 6310
MSEN 6323 Quantum Mechanics for Materials Scientists II,MSEN 6323
"MSEN 6325 Semiconductor Materials, Defects, and Devices",MSEN 6325
"MSEN 6339 Nanostructured Materials: Synthesis, Properties and Application",MSEN 6339
MSEN 6340 Introduction to Electron Microscopy,MSEN 6340
MSEN 6362 Diffraction Science,MSEN 6362
MSEN 6380 Phase Transformations and Kinetic Processes in Materials,MSEN 6380
MSEN 6381 Advanced Ceramic Materials,MSEN 6381
MSEN 6383 Modern Physical Metallurgy,MSEN 6383
MSEN 5300 (PHYS 5376) Introduction to Materials Science,MSEN 5300
MSEN 5320 Materials Science for Sustainable Energy,MSEN 5320
MSEN 5331 (CHEM 5331) Advanced Organic Chemistry I,MSEN 5331
MSEN 5340 (CHEM 5340) Advanced Polymer Science and Engineering,MSEN 5340
MSEN 5341 (CHEM 5341) Advanced Inorganic Chemistry I,MSEN 5341
MSEN 5355 (CHEM 5355) Analytical Techniques I,MSEN 5355
MSEN 5371 (PHYS 5371) Solid State Physics,MSEN 5371
MSEN 6320 (EEMF 6320) Fundamentals of Semiconductor Devices,MSEN 6320
MSEN 6321 (EEMF 6321) Active Semiconductor Devices,MSEN 6321
"MSEN 6322 (EEMF 6322, MECH 6348) Semiconductor Processing Technology",MSEN 6322
MSEN 6327 (EEMF 6327) Semiconductor Device Characterization,MSEN 6327
MSEN 6338 Advanced Theory of Semiconductors: Electronic Structure and Transport,MSEN 6338
MSEN 6341 Advanced Electron Microscopy,MSEN 6341
"MSEN 6348 (EEMF 6348, MECH 6341) Lithography and Nanofabrication",MSEN 6348
MSEN 6355 (BMEN 6355) Nanotechnology and Sensors,MSEN 6355
MSEN 6358 (BIOL 6358) Bionanotechnology,MSEN 6358
MSEN 6371 (PHYS 6371) Advanced Solid State Physics,MSEN 6371
MSEN 6374 (PHYS 6374) Optical Properties of Solids,MSEN 6374
"MSEN 6377 (PHYS 6377) Physics of Nanostructures: Carbon Nanotubes, Fullerenes, Quantum Wells, Dots and Wires",MSEN 6377
"MSEN 6382 (EEMF 6382, MECH 6347) Introduction to MEMS",MSEN 6382
MSEN 6V98 Thesis,MSEN 6V98
MSEN 7V80 Special Topics in Materials Science and Engineering,MSEN 7V80
MSEN 8V40 Individual Instruction in Materials Science and Engineering,MSEN 8V40
MSEN 8V70 Research in Materials Science and Engineering,MSEN 8V70
MSEN 5310 Thermodynamics of Materials,MSEN 5310
MSEN 5360 Materials Characterization,MSEN 5360
MSEN 6319 Quantum Mechanics for Materials Scientists,MSEN 6319
"MSEN 6324 (EEMF 6324) Electronic, Optical and Magnetic Materials",MSEN 6324
MSEN 5361 Fundamentals of Surface and Thin Film Analysis,MSEN 5361
MSEN 5377 (PHYS 5377) Computational Physics of Nanomaterials,MSEN 5377
MSEN 6310 (MECH 6367) Mechanical Properties of Materials,MSEN 6310
MSEN 6323 Quantum Mechanics for Materials Scientists II,MSEN 6323
